ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	72	1408	5000	1	1	20	1	50	0	0	mvapich2	interval	500	comp	687.62	99.97	99.97	99.97	0.0
2000000	72	1408	5000	1	1	20	1	50	0	0	mvapich2	interval	500	serial	0.02	0.0	0.0	0.0	0.0
2000000	72	1408	5000	1	1	20	1	50	0	0	mvapich2	interval	500	other	0.17	0.03	0.03	0.03	0.0
2000000	72	1408	5000	1	1	20	1	50	0	0	mvapich2	interval	500	total	687.81	100.0	100.0	100.0	0.0
3000000	288	1408	5000	1	1	20	1	50	0	0	mvapich2	interval	500	comp	3743.02	99.99	99.99	99.99	0.0
3000000	288	1408	5000	1	1	20	1	50	0	0	mvapich2	interval	500	serial	0.04	0.0	0.0	0.0	0.0
3000000	288	1408	5000	1	1	20	1	50	0	0	mvapich2	interval	500	other	0.18	0.0	0.0	0.0	0.0
3000000	288	1408	5000	1	1	20	1	50	0	0	mvapich2	interval	500	total	3743.24	100.0	100.0	100.0	0.0
4000000	288	1408	5000	1	1	20	1	50	0	0	mvapich2	interval	500	comp	5873.15	99.99	99.99	99.99	0.0
4000000	288	1408	5000	1	1	20	1	50	0	0	mvapich2	interval	500	serial	0.05	0.0	0.0	0.0	0.0
4000000	288	1408	5000	1	1	20	1	50	0	0	mvapich2	interval	500	other	0.18	0.0	0.0	0.0	0.0
4000000	288	1408	5000	1	1	20	1	50	0	0	mvapich2	interval	500	total	5873.38	100.0	100.0	100.0	0.0
