ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm:allreduce	5.28	1.06	45.03	5000.0	5.2
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm:gather	1.87	623.9	21.56	3.0	1.84
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp:LIKick	39.81	7.96	4.46	5000.0	39.14
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp:histo	24.17	4.84	5.4	5000.0	23.51
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:RFVCalc	0.56	0.12	13.04	5000.0	0.55
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:beam_phase	1.2	0.24	13.52	5000.0	1.17
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:beam_spectrum_gen	5.21	1.04	42.31	5000.0	5.12
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:conversion	0.71	0.07	28.2	10000.0	0.7
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:indVolt1Turn	6.42	1.28	17.56	5000.0	6.31
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:sync	17.14	3.42	254.92	5000.0	14.58
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	Other	1.91	1912.85	0.0	1.0	1.88
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	total_time	104.28	104280.94	0.0	1.0	100.0
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm:allreduce	9.09	1.82	51.17	5000.0	11.35
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm:gather	1.91	636.74	13.15	3.0	2.38
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp:LIKick	20.2	4.04	5.59	5000.0	25.21
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp:histo	13.54	2.71	7.09	5000.0	16.89
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:RFVCalc	0.57	0.12	12.39	5000.0	0.71
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:beam_phase	1.24	0.24	15.98	5000.0	1.55
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:beam_spectrum_gen	5.27	1.06	84.15	5000.0	6.58
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:conversion	0.72	0.07	15.3	10000.0	0.9
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:indVolt1Turn	6.45	1.29	14.85	5000.0	8.06
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:sync	19.22	3.84	130.76	5000.0	23.98
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	Other	1.91	1909.39	0.0	1.0	2.38
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	total_time	80.13	80134.05	0.0	1.0	100.0
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	5.12	1.03	34.56	5000.0	5.93
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.59	197.01	13.15	3.0	0.68
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	38.76	7.75	6.84	5000.0	44.88
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	22.29	4.46	8.43	5000.0	25.8
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.07	0.22	28.7	5000.0	1.23
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	1.36	0.27	35.22	5000.0	1.58
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	4.43	0.88	25.38	5000.0	5.12
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.74	0.07	7.64	10000.0	0.86
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	6.44	1.29	33.62	5000.0	7.46
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	3.62	0.72	377.88	5000.0	4.18
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	1.96	1954.92	0.0	1.0	2.26
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	86.37	86370.75	0.0	1.0	100.0
