ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm:allreduce	0.18	0.04	26.25	0.0	0.75
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm:gather	0.11	36.96	6.2	0.0	0.28
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp:LIKick	1.51	0.3	0.2	0.0	5.46
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp:histo	2.39	0.48	0.49	0.0	1.85
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:RFVCalc	0.03	0.0	12.82	0.0	0.07
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:beam_phase	0.09	0.02	7.65	0.0	0.13
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:beam_spectrum_gen	0.16	0.03	17.68	0.0	0.76
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:conversion	0.02	0.0	19.92	0.0	0.1
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:indVolt1Turn	0.23	0.05	7.65	0.0	0.89
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:sync	13.68	2.74	78.98	0.0	10.55
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	Other	0.05	51.17	0.0	0.0	0.29
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	total_time	18.4	18396.48	0.0	0.0	0.0
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm:allreduce	0.89	0.18	11.04	0.0	1.24
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm:gather	0.03	11.01	1.2	0.0	0.06
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp:LIKick	0.46	0.09	0.99	0.0	0.4
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp:histo	0.7	0.14	1.25	0.0	0.73
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:RFVCalc	0.02	0.0	7.14	0.0	0.02
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:beam_phase	0.04	0.01	3.94	0.0	0.04
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:beam_spectrum_gen	0.12	0.02	23.25	0.0	0.08
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:conversion	0.02	0.0	0.35	0.0	0.01
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:indVolt1Turn	0.14	0.03	2.27	0.0	0.11
