ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp	63.98	62.64	58.84	72.75	5.79
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm	7.15	7.04	6.6	7.4	0.28
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial	31.24	28.44	17.88	32.48	6.04
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	other	1.91	1.88	1.7	2.26	0.18
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	total	104.28	100.0	100.0	100.0	0.0
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp	33.75	42.11	37.72	58.73	7.63
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm	11.0	13.74	12.68	15.34	0.84
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial	33.48	41.77	24.69	46.86	7.9
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	other	1.91	2.38	2.14	3.15	0.25
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	total	80.13	100.0	100.0	100.0	0.0
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp	61.04	70.68	70.13	71.11	0.33
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm	5.71	6.61	6.4	6.82	0.15
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial	17.66	20.45	19.79	20.93	0.35
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	other	1.96	2.26	2.11	2.5	0.12
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total	86.37	100.0	100.0	100.0	0.0
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	34.02	43.95	40.52	61.55	6.68
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	7.59	9.8	9.28	10.57	0.45
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	33.93	43.65	25.25	47.56	6.9
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	2.02	2.61	2.34	3.2	0.23
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	77.55	100.0	100.0	100.0	0.0
2000000	48	1000	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comp	63.0	67.87	65.72	73.57	3.17
2000000	48	1000	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comm	5.92	6.42	6.31	6.52	0.07
2000000	48	1000	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial	23.03	23.61	17.88	25.85	3.2
2000000	48	1000	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	other	1.93	2.09	1.99	2.21	0.07
2000000	48	1000	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	total	93.88	100.0	100.0	100.0	0.0
2000000	48	1000	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comp	34.08	42.24	39.5	59.41	5.9
2000000	48	1000	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comm	11.31	13.82	13.65	14.03	0.11
2000000	48	1000	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	serial	33.68	41.53	24.35	44.36	5.92
2000000	48	1000	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	other	1.94	2.4	2.24	2.71	0.13
2000000	48	1000	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	total	81.01	100.0	100.0	100.0	0.0
