ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp	3.9	7.31	10.34	2.2	5.32
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm	0.26	1.02	0.99	0.99	0.07
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial	14.2	8.6	1.11	11.73	5.39
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	other	0.05	0.29	0.3	0.05	0.08
2000000	48	1000	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	total	18.4	0.0	0.0	0.0	0.0
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp	1.16	1.1	0.65	0.73	1.38
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm	0.9	1.28	1.36	1.0	0.14
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial	1.28	1.05	1.96	1.82	1.36
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	other	0.04	0.03	0.04	0.45	0.11
2000000	48	1000	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	total	1.44	0.0	0.0	0.0	0.0
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp	0.11	0.25	0.32	0.33	0.09
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm	0.02	0.03	0.08	0.04	0.04
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial	0.3	0.25	0.34	0.31	0.12
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	other	0.03	0.03	0.01	0.08	0.02
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total	0.43	0.0	0.0	0.0	0.0
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	1.57	1.83	2.59	3.29	1.68
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	0.47	0.14	0.28	0.53	0.25
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	3.54	1.91	2.17	2.95	1.93
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	0.06	0.1	0.15	0.31	0.11
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	5.13	0.0	0.0	0.0	0.0
2000000	48	1000	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comp	3.41	5.3	8.07	3.47	4.84
2000000	48	1000	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comm	0.1	0.81	0.8	0.82	0.01
2000000	48	1000	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial	10.18	6.37	2.39	9.1	4.82
2000000	48	1000	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	other	0.01	0.26	0.26	0.27	0.02
2000000	48	1000	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	total	13.58	0.0	0.0	0.0	0.0
2000000	48	1000	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comp	1.12	2.91	2.66	3.82	1.49
2000000	48	1000	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comm	2.44	2.01	2.0	2.04	0.04
2000000	48	1000	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	serial	3.18	1.65	1.96	1.01	1.48
2000000	48	1000	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	other	0.02	0.16	0.15	0.27	0.05
2000000	48	1000	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	total	5.55	0.0	0.0	0.0	0.0
