ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	3.01	0.6	45.5	5000.0	3.61
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.35	116.66	15.0	3.0	0.42
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	39.19	7.84	6.68	5000.0	46.87
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	22.34	4.47	8.76	5000.0	26.5
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.87	0.17	11.29	5000.0	1.04
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	1.11	0.22	155.51	5000.0	1.33
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	4.73	0.95	43.27	5000.0	5.66
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.48	0.05	15.02	10000.0	0.58
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	6.68	1.33	19.91	5000.0	8.0
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	3.75	0.75	468.94	5000.0	4.02
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	1.64	1644.09	0.0	1.0	1.97
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	84.15	84150.06	0.0	1.0	100.0
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	5.14	1.03	43.9	5000.0	5.36
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.55	184.02	9.36	3.0	0.58
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	40.09	8.02	6.49	5000.0	41.64
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	24.09	4.82	6.98	5000.0	24.82
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.08	0.21	29.11	5000.0	1.13
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	1.43	0.29	29.83	5000.0	1.48
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	4.47	0.9	22.2	5000.0	4.66
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.74	0.07	7.67	10000.0	0.78
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	6.5	1.3	30.64	5000.0	6.77
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	11.75	2.35	259.96	5000.0	10.73
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	1.98	1984.05	0.0	1.0	2.07
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	97.83	97833.19	0.0	1.0	100.0
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	8.58	1.72	52.9	5000.0	6.4
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	1.11	369.98	10.41	3.0	0.83
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	41.6	8.32	6.95	5000.0	31.05
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	25.8	5.16	7.26	5000.0	19.24
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.38	0.27	109.97	5000.0	1.03
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	2.31	0.46	20.7	5000.0	1.73
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	4.99	1.0	20.63	5000.0	3.73
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	1.25	0.12	9.76	10000.0	0.93
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	6.81	1.36	17.06	5000.0	5.08
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	37.49	7.5	108.66	5000.0	28.01
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	2.65	2649.36	0.0	1.0	1.98
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	133.97	133969.54	0.0	1.0	100.0
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	28.06	5.61	98.48	5000.0	16.09
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	2.0	668.52	11.14	3.0	1.16
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	46.8	9.36	5.75	5000.0	27.03
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	32.62	6.52	6.61	5000.0	18.82
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.81	0.36	11.16	5000.0	1.05
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	3.98	0.8	10.09	5000.0	2.3
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	4.91	0.98	15.58	5000.0	2.84
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	2.0	0.2	16.98	10000.0	1.16
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	6.87	1.37	13.88	5000.0	3.97
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	42.21	8.44	81.64	5000.0	24.4
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	Other	2.07	2071.74	0.0	1.0	1.2
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	total_time	173.35	173350.05	0.0	1.0	100.0
