ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.06	0.01	36.34	0.0	0.08
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.03	9.4	8.38	0.0	0.03
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	0.8	0.16	2.57	0.0	0.83
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	1.13	0.23	5.54	0.0	1.06
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.04	0.01	7.57	0.0	0.04
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.04	0.01	17.42	0.0	0.04
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.07	0.02	28.94	0.0	0.08
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	1.5	0.0	0.01
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.08	0.02	14.4	0.0	0.08
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	2.05	0.41	195.74	0.0	2.0
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	0.09	94.55	0.0	0.0	0.11
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.03	35.38	0.0	0.0	0.0
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.13	0.02	25.78	0.0	0.14
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.02	5.49	9.54	0.0	0.02
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	1.94	0.39	2.11	0.0	1.71
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	3.08	0.62	3.91	0.0	2.66
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.06	0.01	9.84	0.0	0.06
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.13	0.02	24.73	0.0	0.12
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.11	0.02	9.8	0.0	0.1
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.02	0.0	0.64	0.0	0.02
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.14	0.03	13.61	0.0	0.13
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	5.47	1.09	151.73	0.0	4.77
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	0.1	97.6	0.0	0.0	0.1
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.02	24.76	0.0	0.0	0.0
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.19	0.04	26.73	0.0	0.14
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.04	14.47	10.0	0.0	0.03
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	4.48	0.9	2.52	0.0	3.32
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	5.42	1.08	4.66	0.0	4.02
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.1	0.02	6.8	0.0	0.07
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.4	0.08	17.92	0.0	0.29
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.18	0.04	19.0	0.0	0.13
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.03	0.0	1.44	0.0	0.03
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.27	0.06	17.39	0.0	0.2
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	10.79	2.16	222.13	0.0	8.0
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	0.15	146.03	0.0	0.0	0.11
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.05	49.3	0.0	0.0	0.0
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.22	0.04	0.81	0.0	0.12
