ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.05	0.01	16.44	0.0	0.29
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.04	13.27	8.72	0.0	0.06
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	1.48	0.3	0.71	0.0	2.71
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	2.93	0.59	2.2	0.0	0.46
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.02	0.0	7.34	0.0	0.07
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.06	0.01	17.12	0.0	0.06
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.11	0.02	32.51	0.0	0.39
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	0.94	0.0	0.04
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.13	0.03	9.73	0.0	0.57
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	4.55	0.91	154.46	0.0	3.91
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	0.02	24.47	0.0	0.0	0.17
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	9.29	9294.04	0.0	0.0	0.0
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.05	0.01	16.08	0.0	0.72
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.0	1.32	1.33	0.0	0.08
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	1.48	0.29	0.58	0.0	4.39
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	2.31	0.46	1.97	0.0	1.26
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.03	0.0	5.83	0.0	0.13
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.09	0.02	12.39	0.0	0.12
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.07	0.01	2.8	0.0	0.59
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	0.38	0.0	0.11
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.08	0.02	4.48	0.0	0.87
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	10.57	2.11	63.13	0.0	8.55
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	0.02	19.8	0.0	0.0	0.28
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	14.66	14657.68	0.0	0.0	0.0
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.37	0.07	8.69	0.0	0.12
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.07	24.08	2.72	0.0	0.06
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	1.32	0.27	0.42	0.0	0.26
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	1.73	0.35	0.84	0.0	0.79
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.05	0.01	1.29	0.0	0.01
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.13	0.03	3.8	0.0	0.06
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.1	0.02	2.99	0.0	0.02
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.02	0.0	0.42	0.0	0.01
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.14	0.03	4.04	0.0	0.02
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	0.84	0.17	18.78	0.0	1.13
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	0.04	41.79	0.0	0.0	0.02
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	3.31	3314.98	0.0	0.0	0.0
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	5.28	1.06	25.18	0.0	2.36
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.02	6.18	1.42	0.0	0.05
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	0.94	0.19	0.27	0.0	0.75
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	1.27	0.25	0.27	0.0	0.32
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.05	0.01	2.48	0.0	0.02
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.19	0.04	2.12	0.0	0.04
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.06	0.01	2.76	0.0	0.09
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.03	0.0	0.65	0.0	0.04
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.09	0.02	3.44	0.0	0.13
