ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp	61.53	73.37	71.45	75.32	1.78
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm	3.36	4.03	3.91	4.13	0.09
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial	17.61	20.63	18.55	22.61	1.86
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	other	1.64	1.97	1.82	2.12	0.11
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total	84.15	100.0	100.0	100.0	0.0
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp	64.18	66.45	63.63	74.03	4.34
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm	5.69	5.94	5.75	6.1	0.14
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial	25.97	25.54	17.8	28.44	4.41
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	other	1.98	2.07	1.92	2.25	0.1
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total	97.83	100.0	100.0	100.0	0.0
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	67.4	50.29	47.19	74.82	7.33
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	9.68	7.23	7.03	7.48	0.14
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	54.23	40.51	15.94	43.59	7.36
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	2.65	1.98	1.85	2.26	0.11
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	133.97	100.0	100.0	100.0	0.0
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp	79.42	45.85	42.05	64.53	6.72
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm	30.07	17.25	16.98	17.48	0.13
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial	61.79	35.7	16.93	39.63	6.76
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	other	2.07	1.2	1.08	1.54	0.1
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	total	173.35	100.0	100.0	100.0	0.0
