ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp	4.4	2.28	6.14	1.69	3.78
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm	0.06	0.34	0.32	0.38	0.04
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial	4.88	2.78	1.18	6.63	3.76
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	other	0.02	0.17	0.17	0.18	0.04
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total	9.29	0.0	0.0	0.0	0.0
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp	3.79	5.65	8.67	3.38	5.16
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm	0.05	0.8	0.76	0.85	0.05
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial	10.82	6.73	2.36	9.72	5.16
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	other	0.02	0.28	0.26	0.33	0.02
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total	14.66	0.0	0.0	0.0	0.0
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	3.05	1.03	1.2	1.48	1.8
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	0.35	0.1	0.12	0.4	0.15
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	0.62	1.09	1.25	1.2	1.9
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	0.04	0.02	0.04	0.25	0.07
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	3.31	0.0	0.0	0.0	0.0
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp	2.2	1.01	1.88	2.98	1.32
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm	5.28	2.31	2.22	2.39	0.06
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial	1.08	1.48	0.75	0.63	1.33
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	other	0.03	0.04	0.05	0.15	0.03
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	total	7.59	0.0	0.0	0.0	0.0
