ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.16	0.03	81.69	0.0	0.19
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.07	23.38	21.29	0.0	0.09
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	1.83	0.36	6.11	0.0	1.91
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	2.35	0.47	13.08	0.0	2.23
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.1	0.02	18.35	0.0	0.11
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.09	0.02	41.88	0.0	0.09
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.18	0.04	64.5	0.0	0.19
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.03	0.0	3.67	0.0	0.04
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.18	0.04	35.99	0.0	0.19
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	4.38	0.87	499.14	0.0	4.31
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	0.25	249.3	0.0	0.0	0.3
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.09	92.13	0.0	0.0	0.0
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.33	0.07	65.65	0.0	0.35
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.05	17.85	29.54	0.0	0.06
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	4.78	0.96	5.89	0.0	4.24
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	7.27	1.46	11.74	0.0	6.29
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.15	0.03	31.07	0.0	0.15
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.33	0.07	70.63	0.0	0.3
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.31	0.06	29.88	0.0	0.28
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.04	0.0	1.98	0.0	0.05
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.41	0.08	41.54	0.0	0.39
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	13.12	2.63	414.54	0.0	11.52
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	0.32	319.76	0.0	0.0	0.34
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.08	76.19	0.0	0.0	0.0
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.59	0.12	66.16	0.0	0.43
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.14	46.62	30.47	0.0	0.1
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	17.08	3.41	8.67	0.0	12.73
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	20.07	4.01	15.96	0.0	14.97
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.39	0.08	26.82	0.0	0.29
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	1.5	0.3	73.34	0.0	1.12
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.74	0.15	57.52	0.0	0.54
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.14	0.01	5.45	0.0	0.1
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	1.11	0.22	60.55	0.0	0.81
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	40.14	8.03	908.5	0.0	29.94
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	0.55	546.74	0.0	0.0	0.41
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.17	173.59	0.0	0.0	0.0
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.76	0.15	3.14	0.0	0.44
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.37	123.48	36.66	0.0	0.21
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	18.18	3.64	8.21	0.0	10.51
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	20.93	4.18	15.44	0.0	12.11
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.02	0.2	84.92	0.0	0.58
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	3.08	0.62	58.86	0.0	1.78
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	1.68	0.34	64.02	0.0	0.95
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.73	0.07	24.1	0.0	0.41
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	2.25	0.45	74.41	0.0	1.28
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	46.81	9.36	571.66	0.0	26.99
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	Other	0.81	809.77	0.0	0.0	0.46
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.4	398.88	0.0	0.0	0.0
