ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.05	0.01	42.09	0.0	0.07
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.05	15.64	5.11	0.0	0.06
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	2.75	0.55	1.71	0.0	2.42
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	5.84	1.17	4.41	0.0	5.27
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.02	0.0	26.23	0.0	0.02
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.11	0.02	59.17	0.0	0.09
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.23	0.05	64.36	0.0	0.2
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	3.15	0.0	0.01
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.3	0.06	24.23	0.0	0.26
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	9.04	1.81	237.85	0.0	8.08
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	0.09	88.5	0.0	0.0	0.11
2000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.05	45.3	0.0	0.0	0.0
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.07	0.01	27.35	0.0	0.1
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.0	0.53	1.46	0.0	0.01
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	5.15	1.03	1.73	0.0	4.3
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	8.99	1.8	4.31	0.0	7.67
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.06	0.01	45.12	0.0	0.04
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.32	0.06	63.33	0.0	0.26
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.26	0.05	13.21	0.0	0.21
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	0.59	0.0	0.0
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.3	0.06	29.97	0.0	0.23
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	15.04	3.01	280.55	0.0	12.67
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	0.04	43.29	0.0	0.0	0.08
2000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.02	16.15	0.0	0.0	0.0
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.67	0.13	11.02	0.0	0.47
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.01	2.43	4.52	0.0	0.01
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	0.22	0.04	1.07	0.0	0.15
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	0.27	0.05	5.19	0.0	0.18
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.32	0.06	6.77	0.0	0.22
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.19	0.04	34.75	0.0	0.11
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.67	0.14	9.4	0.0	0.47
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.23	0.02	3.43	0.0	0.16
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.99	0.2	29.3	0.0	0.69
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	2.01	0.4	189.1	0.0	0.73
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	0.42	424.53	0.0	0.0	0.29
2000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.02	26.96	0.0	0.0	0.0
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.38	0.08	1.83	0.0	0.21
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.02	7.32	4.37	0.0	0.02
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	1.68	0.34	1.1	0.0	1.02
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	0.28	0.05	1.77	0.0	0.46
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.44	0.09	30.76	0.0	0.23
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.18	0.04	29.06	0.0	0.03
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.68	0.14	12.63	0.0	0.35
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.53	0.05	18.6	0.0	0.29
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	1.02	0.2	36.75	0.0	0.54
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	2.18	0.44	171.9	0.0	0.38
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	Other	0.38	380.99	0.0	0.0	0.2
2000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.02	21.88	0.0	0.0	0.0
