ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	7.38	1.48	159.61	5000.0	6.78
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.54	181.03	7.35	3.0	0.51
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	27.16	5.43	32.4	5000.0	25.17
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp:histo	18.47	3.7	33.28	5000.0	17.24
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.22	0.24	135.37	5000.0	1.13
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	1.64	0.33	339.98	5000.0	1.5
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	5.48	1.09	112.58	5000.0	5.08
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.87	0.09	39.12	10000.0	0.81
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	8.5	1.7	133.08	5000.0	7.87
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:sync	35.96	7.19	381.41	5000.0	31.89
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	Other	2.15	2149.81	0.0	1.0	2.01
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	total_time	109.37	109366.06	0.0	1.0	100.0
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	7.4	1.48	63.95	5000.0	9.04
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.52	172.71	11.0	3.0	0.64
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	20.77	4.15	11.14	5000.0	25.42
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	14.04	2.81	11.21	5000.0	17.18
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.17	0.24	136.73	5000.0	1.44
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	1.55	0.31	36.77	5000.0	1.9
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	4.66	0.93	26.34	5000.0	5.7
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.77	0.08	8.24	10000.0	0.94
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	6.71	1.34	16.43	5000.0	8.21
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	22.19	4.44	131.89	5000.0	27.04
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	2.06	2057.91	0.0	1.0	2.52
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	81.84	81838.29	0.0	1.0	100.0
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	8.85	1.77	74.18	5000.0	9.91
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.66	220.37	8.94	3.0	0.74
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	19.89	3.98	7.91	5000.0	22.4
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comp:histo	12.41	2.48	8.95	5000.0	13.99
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.13	0.23	17.74	5000.0	1.27
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	2.26	0.45	22.61	5000.0	2.54
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	5.48	1.1	62.58	5000.0	6.17
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.72	0.07	9.56	10000.0	0.81
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	8.57	1.71	17.65	5000.0	9.64
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial:sync	27.82	5.57	176.55	5000.0	30.32
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	Other	1.96	1955.43	0.0	1.0	2.2
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	total_time	89.75	89747.83	0.0	1.0	100.0
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	12.2	2.44	79.18	5000.0	12.6
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.69	231.41	6.88	3.0	0.72
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	19.32	3.86	11.14	5000.0	20.0
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	comp:histo	12.85	2.57	8.59	5000.0	13.28
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.35	0.27	24.43	5000.0	1.4
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	2.87	0.57	30.22	5000.0	2.97
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	6.66	1.33	47.23	5000.0	6.9
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.75	0.07	13.97	10000.0	0.77
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	10.22	2.04	15.96	5000.0	10.58
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial:sync	28.88	5.77	197.92	5000.0	28.52
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	Other	2.18	2186.99	0.0	1.0	2.27
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	total_time	97.98	97977.74	0.0	1.0	100.0
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	15.97	3.19	53.05	5000.0	13.83
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comm:gather	1.01	335.63	6.36	3.0	0.87
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	18.82	3.76	14.13	5000.0	16.35
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comp:histo	12.12	2.42	5.95	5000.0	10.5
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.58	0.32	47.74	5000.0	1.37
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	4.78	0.96	32.54	5000.0	4.14
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	9.92	1.98	13.43	5000.0	8.6
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.68	0.07	14.11	10000.0	0.58
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	16.09	3.22	8.97	5000.0	13.96
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial:sync	34.59	6.92	179.27	5000.0	27.95
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	Other	2.1	2106.13	0.0	1.0	1.83
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	total_time	117.67	117667.23	0.0	1.0	100.0
