ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.91	0.18	33.7	0.0	0.38
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.05	17.41	1.24	0.0	0.12
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	2.42	0.48	5.33	0.0	2.74
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp:histo	1.58	0.31	8.59	0.0	2.85
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.09	0.02	34.0	0.0	0.12
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.29	0.06	95.75	0.0	0.13
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.36	0.07	29.64	0.0	0.49
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.02	0.0	11.66	0.0	0.11
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.61	0.12	37.97	0.0	0.72
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:sync	12.84	2.57	64.66	0.0	7.53
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	Other	0.06	56.26	0.0	0.0	0.28
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	total_time	16.11	16110.61	0.0	0.0	0.0
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.36	0.07	12.48	0.0	0.06
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.01	1.38	1.08	0.0	0.03
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	0.42	0.08	0.69	0.0	1.02
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	0.59	0.12	1.37	0.0	0.79
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.04	0.01	2.56	0.0	0.04
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.06	0.01	7.38	0.0	0.07
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.1	0.02	3.97	0.0	0.18
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	0.37	0.0	0.03
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.14	0.03	2.08	0.0	0.24
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	2.66	0.53	17.51	0.0	2.37
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	0.04	44.18	0.0	0.0	0.08
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	3.51	3509.11	0.0	0.0	0.0
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.47	0.09	55.14	0.0	0.55
