ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp	45.63	42.42	30.81	56.23	9.72
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm	7.92	7.3	6.57	8.65	0.76
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial	53.67	48.28	34.68	60.5	9.64
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	other	2.15	2.01	1.91	2.22	0.1
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	total	109.37	100.0	100.0	100.0	0.0
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	34.81	42.59	38.37	59.01	7.68
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	7.92	9.68	8.91	10.87	0.71
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	37.05	45.21	27.16	50.25	8.12
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	2.06	2.52	2.21	3.32	0.29
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	81.84	100.0	100.0	100.0	0.0
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comp	32.3	36.38	32.19	53.47	4.07
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comm	9.51	10.65	10.16	11.4	0.34
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial	45.99	50.76	32.77	55.12	4.33
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	other	1.96	2.2	2.03	2.83	0.16
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	total	89.75	100.0	100.0	100.0	0.0
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comp	30.94	26.86	23.69	36.81	2.41
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comm	16.98	14.71	13.02	16.55	0.85
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial	67.64	56.61	45.19	60.9	2.81
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	other	2.1	1.83	1.66	2.76	0.19
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	total	117.67	100.0	100.0	100.0	0.0
