ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp	3.7	5.47	4.84	3.88	1.65
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm	0.89	0.5	0.69	0.4	0.2
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial	13.91	6.12	4.48	5.76	1.68
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	other	0.06	0.28	0.29	0.3	0.08
2000000	48	1000	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	total	16.11	0.0	0.0	0.0	0.0
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	1.01	1.76	1.77	2.16	0.7
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	0.36	0.05	0.28	0.57	0.33
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	2.84	1.85	1.21	2.09	0.82
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	0.04	0.08	0.1	0.19	0.06
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	3.51	0.0	0.0	0.0	0.0
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comp	0.28	3.61	2.65	4.88	0.99
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comm	0.54	0.57	0.71	0.2	0.17
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial	9.46	4.35	5.04	3.56	0.97
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	other	0.01	0.21	0.21	0.53	0.07
2000000	48	1000	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	total	9.93	0.0	0.0	0.0	0.0
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	comp	1.04	3.69	5.14	3.65	2.14
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	comm	0.66	1.46	1.43	1.34	0.09
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial	10.85	5.27	4.02	6.69	2.21
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	other	0.04	0.28	0.28	0.49	0.07
2000000	48	1000	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	total	11.84	0.0	0.0	0.0	0.0
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comp	0.38	3.9	4.78	3.06	1.22
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comm	0.48	1.96	1.57	1.93	0.26
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial	16.72	6.09	3.94	6.66	1.1
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	other	0.03	0.26	0.25	0.12	0.03
2000000	48	1000	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	total	17.16	0.0	0.0	0.0	0.0
