ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	7.11	1.42	74.11	5000.0	10.88
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:gather	0.53	176.48	10.27	3.0	0.81
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:redistribute	0.29	29.13	104.01	10.0	0.44
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:sendrecv	0.85	0.17	7.82	5000.0	1.3
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp:LIKick	19.66	3.93	13.23	5000.0	30.28
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp:histo	12.66	2.53	17.51	5000.0	19.49
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:beam_spectrum_gen	4.45	0.89	37.99	5000.0	6.84
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:conversion	0.75	0.07	8.29	10000.0	1.16
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:indVolt1Turn	6.5	1.3	29.57	5000.0	9.97
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:sync	16.1	1.61	221.21	10000.0	22.59
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	Other	1.75	1752.62	0.0	1.0	2.7
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	total_time	66.44	66445.66	0.0	1.0	100.0
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:RFVCalc	1.11	0.22	21.11	5000.0	1.71
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:beam_phase	1.42	0.28	27.7	5000.0	2.19
