ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
3000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comp	3.74	0.11	0.25	0.62	0.21
3000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm	0.2	0.15	0.11	0.23	0.08
3000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial	0.94	0.24	0.66	0.4	0.27
3000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	interval	500	other	0.05	0.04	0.07	0.14	0.08
3000000	24	1000	5000	4	2	10	1	50	0	0	mvapich2	interval	500	total	4.78	0.0	0.0	0.0	0.0
3000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comp	2.76	3.48	3.43	3.77	0.29
3000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comm	0.37	0.2	0.24	0.43	0.18
3000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial	6.38	3.62	4.14	3.4	0.37
3000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	interval	500	other	0.02	0.08	0.09	0.14	0.04
3000000	48	1000	5000	8	4	10	1	50	0	0	mvapich2	interval	500	total	7.69	0.0	0.0	0.0	0.0
3000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp	3.27	4.16	4.39	4.21	0.09
3000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm	0.56	0.3	0.4	0.51	0.18
3000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial	9.01	4.45	4.69	4.31	0.2
3000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	other	0.01	0.12	0.11	0.11	0.02
3000000	96	1000	5000	16	8	10	1	50	0	0	mvapich2	interval	500	total	10.68	0.0	0.0	0.0	0.0
3000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comp	3.01	2.2	2.4	2.31	0.08
3000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comm	5.18	2.18	2.15	2.27	0.05
3000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial	2.45	1.13	1.34	1.17	0.08
3000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	interval	500	other	0.03	0.03	0.03	0.15	0.03
3000000	192	1000	5000	32	16	10	1	50	0	0	mvapich2	interval	500	total	6.72	0.0	0.0	0.0	0.0
6000000	192	1000	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comp	0.17	1.69	1.62	1.71	0.05
6000000	192	1000	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comm	4.5	1.33	1.35	1.32	0.0
6000000	192	1000	5000	64	32	10	1	50	0	0	mvapich2	interval	500	serial	3.03	0.83	0.9	0.79	0.05
6000000	192	1000	5000	64	32	10	1	50	0	0	mvapich2	interval	500	other	0.01	0.03	0.03	0.08	0.01
6000000	192	1000	5000	64	32	10	1	50	0	0	mvapich2	interval	500	total	6.9	0.0	0.0	0.0	0.0
