ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm:allreduce	0.68	0.27	42.82	0.0	0.07
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm:gather	0.06	21.1	1.06	0.0	0.01
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm:redistribute	0.35	34.45	5.69	0.0	0.03
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm:sendrecv	0.02	0.0	2.52	0.0	0.0
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comp:LIKick	5.99	1.2	0.64	0.0	0.54
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comp:histo	0.65	0.26	1.04	0.0	0.19
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:RFVCalc	0.14	0.03	476.3	0.0	0.01
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:beam_phase	0.23	0.05	56.46	0.0	0.02
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:conversion	0.0	0.0	0.91	0.0	0.0
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:sync	6.86	0.92	35.59	0.0	0.64
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	Other	0.03	28.37	0.0	0.0	0.0
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	total_time	12.41	12408.41	0.0	0.0	0.0
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:beam_spectrum_gen	0.33	0.13	286.23	0.0	0.03
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:indVolt1Turn	0.17	0.07	37.8	0.0	0.02
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comm:allreduce	0.14	0.06	17.25	0.0	0.02
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comm:gather	0.05	16.64	1.47	0.0	0.01
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comm:redistribute	0.13	12.75	4.66	0.0	0.03
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comm:sendrecv	0.0	0.0	1.34	0.0	0.0
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comp:LIKick	0.55	0.11	0.71	0.0	0.15
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comp:histo	0.41	0.16	0.19	0.0	0.09
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	serial:RFVCalc	0.01	0.0	1.97	0.0	0.0
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	serial:beam_phase	0.01	0.0	3.12	0.0	0.0
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	serial:conversion	0.0	0.0	0.24	0.0	0.0
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	serial:sync	0.91	0.12	11.21	0.0	0.16
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	Other	0.01	10.09	0.0	0.0	0.0
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	total_time	1.48	1485.13	0.0	0.0	0.0
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	serial:beam_spectrum_gen	0.02	0.01	21.45	0.0	0.0
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	serial:indVolt1Turn	0.03	0.01	37.83	0.0	0.01
