ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comp	6.49	0.69	0.68	0.71	0.02
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm	0.89	0.09	0.1	0.09	0.01
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial	7.12	0.66	0.67	0.68	0.02
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	other	0.03	0.0	0.01	0.01	0.0
4000000	192	1000	5000	4	2	10	2	50	0	1	mvapich2	interval	500	total	12.41	0.0	0.0	0.0	0.0
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comp	0.53	0.19	0.21	0.2	0.01
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comm	0.27	0.04	0.04	0.05	0.02
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	serial	0.9	0.16	0.17	0.17	0.01
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	other	0.01	0.0	0.0	0.0	0.0
4000000	192	1000	5000	8	4	10	2	50	0	1	mvapich2	interval	500	total	1.48	0.0	0.0	0.0	0.0
4000000	192	1000	5000	16	8	10	2	50	0	1	mvapich2	interval	500	comp	3.1	2.79	2.89	2.34	0.2
4000000	192	1000	5000	16	8	10	2	50	0	1	mvapich2	interval	500	comm	3.8	0.77	0.74	0.84	0.03
4000000	192	1000	5000	16	8	10	2	50	0	1	mvapich2	interval	500	serial	8.32	2.08	1.39	2.32	0.28
4000000	192	1000	5000	16	8	10	2	50	0	1	mvapich2	interval	500	other	0.03	0.02	0.03	0.01	0.01
4000000	192	1000	5000	16	8	10	2	50	0	1	mvapich2	interval	500	total	15.09	0.0	0.0	0.0	0.0
4000000	192	1000	5000	32	16	10	2	50	0	1	mvapich2	interval	500	comp	1.42	3.35	3.44	3.65	0.12
4000000	192	1000	5000	32	16	10	2	50	0	1	mvapich2	interval	500	comm	6.05	2.12	2.24	2.09	0.02
4000000	192	1000	5000	32	16	10	2	50	0	1	mvapich2	interval	500	serial	4.57	1.34	1.65	1.43	0.12
4000000	192	1000	5000	32	16	10	2	50	0	1	mvapich2	interval	500	other	0.02	0.06	0.06	0.08	0.02
4000000	192	1000	5000	32	16	10	2	50	0	1	mvapich2	interval	500	total	11.4	0.0	0.0	0.0	0.0
4000000	192	1000	5000	64	32	10	2	50	0	1	mvapich2	interval	500	comp	1.53	3.44	4.09	3.27	0.18
4000000	192	1000	5000	64	32	10	2	50	0	1	mvapich2	interval	500	comm	8.59	3.84	3.87	3.93	0.03
4000000	192	1000	5000	64	32	10	2	50	0	1	mvapich2	interval	500	serial	3.08	1.2	0.61	0.95	0.08
4000000	192	1000	5000	64	32	10	2	50	0	1	mvapich2	interval	500	other	0.02	0.13	0.12	1.3	0.13
4000000	192	1000	5000	64	32	10	2	50	0	1	mvapich2	interval	500	total	12.58	0.0	0.0	0.0	0.0
