ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:gather	0.02	4.99	2.58	0.0	0.08
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	0.01	0.79	3.0	0.0	0.03
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	0.02	0.0	1.06	0.0	0.12
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	0.32	0.07	2.01	0.0	2.29
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp:histo	0.38	0.08	4.79	0.0	1.45
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	0.05	0.01	19.96	0.0	0.11
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase	0.11	0.02	21.52	0.0	0.09
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	0.02	0.0	35.74	0.0	0.11
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:sync	3.11	0.62	95.85	0.0	4.92
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	Other	0.01	10.1	0.0	0.0	0.21
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	total_time	3.44	3443.52	0.0	0.0	0.0
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	0.02	0.01	7.64	0.0	0.54
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	0.03	0.01	9.07	0.0	0.81
