ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:gather	6.03	2008.84	22.47	3.0	0.51
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	4.72	471.6	91.93	10.0	0.4
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	2.86	0.57	8.94	5000.0	0.24
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	706.0	141.2	8.44	5000.0	59.51
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp:histo	397.81	79.56	5.49	5000.0	33.54
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	5.2	1.04	94.87	5000.0	0.44
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	6.97	1.39	59.37	5000.0	0.59
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	1.05	0.21	86.23	5000.0	0.09
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:sync	56.79	11.36	287.73	5000.0	4.78
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	Other	1.95	1945.61	0.0	1.0	0.16
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	total_time	1186.24	1186244.02	0.0	1.0	100.0
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	1.91	0.38	251.61	5000.0	0.16
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase	4.01	0.8	559.89	5000.0	0.34
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm:gather	4.61	1535.9	10.41	3.0	0.76
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	2.5	249.58	89.44	10.0	0.41
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	2.83	0.57	8.05	5000.0	0.46
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	349.97	70.0	8.17	5000.0	57.53
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comp:histo	202.49	40.49	4.97	5000.0	33.29
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	1.9	0.38	289.12	5000.0	0.31
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase	3.59	0.72	37.73	5000.0	0.59
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	1.15	0.23	768.89	5000.0	0.19
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:sync	34.22	6.84	283.97	5000.0	5.62
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	Other	1.9	1894.43	0.0	1.0	0.31
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	total_time	608.36	608356.33	0.0	1.0	100.0
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	5.06	1.01	40.38	5000.0	0.83
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	6.84	1.37	47.34	5000.0	1.12
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:gather	4.86	1619.43	9.21	3.0	1.42
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	1.39	139.03	86.89	10.0	0.4
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	2.8	0.56	6.15	5000.0	0.82
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	176.76	35.35	9.24	5000.0	51.79
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp:histo	107.12	21.42	5.98	5000.0	31.39
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	1.86	0.37	22.52	5000.0	0.54
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase	3.78	0.76	77.47	5000.0	1.1
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	1.09	0.22	370.79	5000.0	0.32
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:sync	38.21	7.64	241.1	5000.0	10.67
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	Other	1.92	1915.34	0.0	1.0	0.56
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	total_time	343.13	343134.15	0.0	1.0	100.0
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	5.23	1.05	48.22	5000.0	1.53
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	7.12	1.43	38.49	5000.0	2.08
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm:gather	4.09	1362.66	10.54	3.0	1.98
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	0.79	78.85	80.38	10.0	0.38
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	2.9	0.58	6.75	5000.0	1.4
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	92.22	18.45	7.67	5000.0	44.65
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comp:histo	60.0	12.0	12.91	5000.0	29.04
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	5.11	1.02	44.42	5000.0	2.47
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	6.93	1.39	41.1	5000.0	3.35
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	1.02	0.21	130.0	5000.0	0.5
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:sync	35.52	7.1	205.8	5000.0	16.61
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	Other	1.93	1931.77	0.0	1.0	0.93
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	total_time	207.76	207765.05	0.0	1.0	100.0
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	2.08	0.42	178.62	5000.0	1.0
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase	4.49	0.9	22.49	5000.0	2.17
4000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comm:gather	4.02	1340.05	12.4	3.0	2.94
4000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	0.35	35.24	83.75	10.0	0.26
4000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	2.85	0.57	7.74	5000.0	2.09
4000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	46.01	9.2	12.78	5000.0	33.67
4000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comp:histo	32.03	6.41	9.18	5000.0	23.45
