ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp	1103.81	93.05	92.87	93.27	0.15
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm	13.6	1.15	1.06	1.24	0.07
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial	66.88	5.64	5.4	5.84	0.18
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	other	1.95	0.17	0.16	0.18	0.01
4000000	192	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	total	1186.24	100.0	100.0	100.0	0.0
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comp	552.47	90.81	90.32	91.51	0.43
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm	9.94	1.63	1.51	1.77	0.09
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial	44.06	7.24	6.57	7.73	0.46
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	other	1.9	0.31	0.29	0.33	0.01
4000000	192	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	total	608.36	100.0	100.0	100.0	0.0
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp	283.87	83.18	81.48	84.5	0.9
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm	9.05	2.65	2.43	2.78	0.1
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial	48.3	13.61	12.21	15.2	0.89
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	other	1.92	0.56	0.5	0.69	0.05
4000000	192	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	total	343.13	100.0	100.0	100.0	0.0
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comp	152.21	73.69	71.31	76.56	1.64
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm	7.77	3.76	3.47	4.0	0.13
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial	45.85	21.61	18.96	23.7	1.59
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	other	1.93	0.93	0.85	1.25	0.08
4000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	total	207.76	100.0	100.0	100.0	0.0
4000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comp	78.04	57.12	54.54	60.98	2.07
4000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comm	7.22	5.28	4.85	5.75	0.21
4000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	serial	50.4	36.18	32.38	38.66	2.08
4000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	other	1.94	1.42	1.26	1.99	0.13
4000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	total	137.6	100.0	100.0	100.0	0.0
