ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:gather	0.5	167.62	9.63	3.0	0.47
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	0.5	50.33	86.37	10.0	0.46
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	0.58	0.12	10.43	5000.0	0.55
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	58.27	11.65	10.25	5000.0	54.72
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp:histo	32.46	6.49	9.48	5000.0	30.41
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	4.78	0.96	36.87	5000.0	4.45
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	7.13	1.43	44.78	5000.0	6.63
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	0.94	0.19	56.67	5000.0	0.87
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:sync	5.69	1.14	544.58	5000.0	4.86
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	Other	1.25	1248.21	0.0	1.0	1.18
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	total_time	107.16	107159.68	0.0	1.0	100.0
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	0.98	0.2	75.86	5000.0	0.92
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase	1.04	0.21	337.23	5000.0	0.96
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm:gather	0.89	297.42	8.73	3.0	0.74
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	0.56	55.67	82.29	10.0	0.45
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	0.92	0.18	12.11	5000.0	0.77
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	61.76	12.35	10.14	5000.0	51.28
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comp:histo	37.92	7.58	7.6	5000.0	31.34
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	1.16	0.23	59.66	5000.0	0.96
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase	1.46	0.29	30.75	5000.0	1.21
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	0.95	0.19	198.26	5000.0	0.79
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:sync	9.8	1.96	363.21	5000.0	7.6
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	Other	1.55	1549.92	0.0	1.0	1.29
