ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:gather	0.02	5.67	0.85	0.0	0.04
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	0.13	12.84	5.21	0.0	0.08
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	0.02	0.0	6.34	0.0	0.04
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	0.93	0.19	4.44	0.0	3.72
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp:histo	2.03	0.41	7.55	0.0	1.77
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	0.55	0.11	40.65	0.0	0.1
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	1.06	0.21	54.11	0.0	0.32
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	0.1	0.02	55.26	0.0	0.03
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:sync	6.99	1.4	107.32	0.0	5.05
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	Other	0.02	25.18	0.0	0.0	0.09
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	total_time	9.9	9898.76	0.0	0.0	0.0
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	0.04	0.01	51.57	0.0	0.05
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase	0.15	0.03	165.81	0.0	0.06
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm:gather	0.08	25.38	0.86	0.0	0.06
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	0.11	10.97	5.51	0.0	0.05
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	0.01	0.01	14.12	0.0	0.07
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	2.06	0.41	2.0	0.0	3.53
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comp:histo	3.46	0.69	2.53	0.0	1.85
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	0.07	0.01	26.56	0.0	0.09
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase	0.15	0.03	36.01	0.0	0.1
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	0.05	0.01	73.09	0.0	0.04
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:sync	8.45	1.69	43.49	0.0	5.11
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	Other	0.03	24.34	0.0	0.0	0.12
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	total_time	12.73	12732.4	0.0	0.0	0.0
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	0.33	0.06	19.43	0.0	0.16
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	0.66	0.13	21.82	0.0	0.22
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:gather	0.07	21.87	0.92	0.0	0.09
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	0.05	4.94	6.17	0.0	0.04
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	0.02	0.0	0.55	0.0	0.07
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	1.11	0.22	0.7	0.0	2.41
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp:histo	1.5	0.3	1.49	0.0	1.13
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	0.09	0.02	10.65	0.0	0.04
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase	0.36	0.07	16.39	0.0	0.15
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	0.03	0.01	44.52	0.0	0.03
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:sync	7.08	1.42	27.67	0.0	3.97
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	Other	0.04	35.14	0.0	0.0	0.1
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	total_time	9.48	9480.18	0.0	0.0	0.0
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	0.09	0.02	11.8	0.0	0.22
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	0.16	0.03	13.48	0.0	0.26
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm:gather	0.02	7.3	0.59	0.0	0.04
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	0.03	2.68	2.03	0.0	0.01
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	0.02	0.0	0.55	0.0	0.04
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	1.13	0.23	0.43	0.0	0.97
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comp:histo	1.27	0.25	0.6	0.0	0.87
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	0.05	0.01	35.57	0.0	0.04
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase	0.23	0.05	5.88	0.0	0.15
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	0.01	0.0	11.71	0.0	0.01
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:sync	3.6	0.72	9.4	0.0	2.02
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	Other	0.02	21.12	0.0	0.0	0.03
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	total_time	3.41	3411.83	0.0	0.0	0.0
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	0.11	0.02	6.35	0.0	0.07
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	0.12	0.03	4.68	0.0	0.09
