ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp	90.73	85.12	80.98	89.34	4.05
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm	1.59	1.49	1.41	1.57	0.06
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial	13.59	12.22	8.03	16.37	4.04
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	other	1.25	1.18	1.07	1.27	0.08
3000000	24	1000	5000	4	2	10	1	50	0	2	mvapich2	interval	500	total	107.16	100.0	100.0	100.0	0.0
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comp	99.68	82.62	78.74	86.83	3.16
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm	2.37	1.96	1.78	2.13	0.11
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial	17.7	14.13	10.14	17.85	3.03
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	other	1.55	1.29	1.13	1.52	0.13
3000000	48	1000	5000	8	4	10	1	50	0	2	mvapich2	interval	500	total	121.3	100.0	100.0	100.0	0.0
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp	101.83	77.91	74.28	82.57	2.99
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm	3.72	2.85	2.65	3.08	0.11
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial	23.42	17.6	13.13	20.95	2.75
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	other	2.15	1.65	1.34	2.02	0.23
3000000	96	1000	5000	16	8	10	1	50	0	2	mvapich2	interval	500	total	131.12	100.0	100.0	100.0	0.0
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comp	111.74	74.77	71.74	77.99	2.33
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm	6.38	4.27	3.92	4.55	0.16
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial	29.56	19.68	16.57	22.67	2.35
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	other	1.9	1.27	1.13	1.52	0.09
3000000	192	1000	5000	32	16	10	1	50	0	2	mvapich2	interval	500	total	149.57	100.0	100.0	100.0	0.0
6000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comp	111.05	67.26	64.61	69.75	1.81
6000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comm	9.4	5.69	5.18	6.18	0.25
6000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	serial	42.96	25.88	23.54	28.35	1.79
6000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	other	1.93	1.17	1.03	1.56	0.09
6000000	192	1000	5000	64	32	10	1	50	0	2	mvapich2	interval	500	total	165.33	100.0	100.0	100.0	0.0
