ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	7.01	1.4	57.26	5000.0	9.77
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.54	178.57	11.79	3.0	0.75
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:sendrecv	0.84	0.17	5.92	5000.0	1.17
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	19.89	3.98	6.91	5000.0	27.79
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	13.05	2.61	9.07	5000.0	18.22
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	4.47	0.89	49.47	5000.0	6.24
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.75	0.07	9.38	10000.0	1.04
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	6.48	1.3	27.31	5000.0	9.05
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	21.46	2.15	184.79	10000.0	29.38
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	1.77	1765.48	0.0	1.0	2.47
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	72.03	72028.53	0.0	1.0	100.0
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.14	0.23	129.41	5000.0	1.59
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	1.39	0.28	16.78	5000.0	1.95
