ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.35	0.07	14.37	0.0	0.71
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.04	12.79	2.2	0.0	0.08
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:sendrecv	0.02	0.01	0.91	0.0	0.1
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	0.52	0.1	1.27	0.0	2.26
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	0.73	0.15	2.09	0.0	1.47
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.08	0.02	50.05	0.0	0.5
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	1.68	0.0	0.09
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.11	0.02	8.1	0.0	0.74
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	5.08	0.51	52.66	0.0	5.45
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	0.02	20.13	0.0	0.0	0.23
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	5.82	5820.6	0.0	0.0	0.0
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.05	0.01	4.07	0.0	0.13
2000000	48	1000	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase	0.1	0.02	20.75	0.0	0.19
