ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm:allreduce	1.92	0.38	180.25	5000.0	1.09
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm:gather	3.15	1050.9	18.47	3.0	1.79
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp:LIKick	69.26	13.85	2.86	5000.0	39.3
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp:histo	41.68	8.34	5.33	5000.0	23.64
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:InductiveImped	0.76	0.15	4.45	5000.0	0.43
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:RFVCalc	0.42	0.08	18.83	5000.0	0.24
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:conversion	0.26	0.03	40.02	10000.0	0.15
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:indVolt1Turn	10.27	2.05	18.29	5000.0	5.83
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:shift_trev_time	1.61	0.32	26.47	5000.0	0.91
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:sync	45.17	9.03	111.54	5000.0	25.64
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	Other	1.74	1741.87	0.0	1.0	0.99
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	total_time	176.24	176241.56	0.0	1.0	100.0
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm:allreduce	2.48	0.5	161.22	5000.0	2.38
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm:gather	3.39	1130.77	18.23	3.0	3.26
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp:LIKick	34.48	6.9	3.76	5000.0	33.12
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp:histo	21.39	4.28	6.34	5000.0	20.54
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:InductiveImped	0.76	0.15	4.12	5000.0	0.74
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:RFVCalc	0.42	0.09	18.07	5000.0	0.41
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:conversion	0.27	0.03	38.24	10000.0	0.26
