ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm:allreduce	0.09	0.02	62.54	0.0	0.05
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm:gather	0.14	47.42	3.58	0.0	0.08
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp:LIKick	1.77	0.35	0.34	0.0	0.84
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp:histo	3.28	0.66	0.54	0.0	1.72
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:InductiveImped	0.02	0.0	1.19	0.0	0.01
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:RFVCalc	0.01	0.0	15.0	0.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:conversion	0.0	0.0	1.78	0.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:indVolt1Turn	0.2	0.04	6.25	0.0	0.06
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:shift_trev_time	0.01	0.0	0.84	0.0	0.02
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:sync	4.4	0.88	19.5	0.0	2.55
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	Other	0.04	40.48	0.0	0.0	0.01
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	total_time	2.05	2052.81	0.0	0.0	0.0
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm:allreduce	0.1	0.02	25.39	0.0	0.11
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm:gather	0.15	49.84	6.36	0.0	0.11
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp:LIKick	0.74	0.15	0.32	0.0	0.72
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp:histo	1.32	0.26	0.79	0.0	1.09
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:InductiveImped	0.03	0.0	0.5	0.0	0.01
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:RFVCalc	0.01	0.0	14.0	0.0	0.01
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:conversion	0.0	0.0	0.24	0.0	0.0
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:indVolt1Turn	0.17	0.03	3.88	0.0	0.15
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:shift_trev_time	0.03	0.01	2.58	0.0	0.03
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:sync	2.12	0.43	18.19	0.0	1.75
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	Other	0.05	47.63	0.0	0.0	0.02
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	total_time	2.66	2657.96	0.0	0.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.26	0.05	35.19	0.0	0.17
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.03	9.05	2.25	0.0	0.13
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	2.45	0.49	0.52	0.0	6.81
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	4.59	0.92	0.98	0.0	2.82
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.03	0.0	1.7	0.0	0.07
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.06	0.01	3.06	0.0	0.11
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	0.57	0.0	0.03
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.35	0.07	5.1	0.0	0.97
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.05	0.01	11.81	0.0	0.2
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	20.84	4.17	93.13	0.0	11.22
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	0.08	77.33	0.0	0.0	0.18
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	26.33	26334.77	0.0	0.0	0.0
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.26	0.05	26.0	0.0	0.1
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.04	14.54	1.63	0.0	0.07
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	0.66	0.13	1.15	0.0	1.55
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	1.05	0.21	2.04	0.0	1.2
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.02	0.0	7.39	0.0	0.02
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.03	0.01	10.93	0.0	0.03
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.0	0.0	1.06	0.0	0.01
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.16	0.03	8.28	0.0	0.3
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.03	0.01	10.8	0.0	0.06
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	4.47	0.89	53.57	0.0	3.0
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	0.04	37.23	0.0	0.0	0.05
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	5.2	5200.09	0.0	0.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comm:allreduce	1.0	0.2	49.75	0.0	0.48
8000000	21	256	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comm:gather	0.03	11.15	1.02	0.0	0.03
