ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp	110.94	62.94	57.66	86.59	10.35
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm	5.07	2.88	2.54	3.08	0.17
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial	58.49	33.2	9.31	38.52	10.44
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	other	1.74	0.99	0.89	1.16	0.09
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	total	176.24	100.0	100.0	100.0	0.0
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp	55.87	53.66	48.7	74.24	9.29
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm	5.87	5.64	4.78	5.98	0.28
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial	40.66	39.03	17.83	44.17	9.44
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	other	1.74	1.67	1.51	2.36	0.22
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	total	104.14	100.0	100.0	100.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp	109.69	71.12	67.24	84.95	6.59
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm	3.44	2.23	2.07	2.42	0.12
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial	42.63	25.47	11.52	29.48	6.68
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	other	1.82	1.18	1.07	1.44	0.12
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total	157.58	100.0	100.0	100.0	0.0
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	56.44	54.82	50.37	76.03	8.85
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	4.05	3.92	3.73	4.16	0.13
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	40.88	39.52	17.9	44.23	8.92
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	1.78	1.72	1.57	2.05	0.13
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	103.15	100.0	100.0	100.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comp	111.06	61.88	57.34	86.55	10.07
8000000	21	256	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comm	6.11	3.4	3.3	3.48	0.06
8000000	21	256	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial	60.53	33.74	8.95	38.28	10.11
8000000	21	256	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	other	1.77	0.99	0.91	1.15	0.07
8000000	21	256	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	total	179.48	100.0	100.0	100.0	0.0
8000000	21	256	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comp	58.56	55.07	48.71	73.37	10.3
8000000	21	256	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comm	9.26	8.68	8.52	8.84	0.1
8000000	21	256	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	serial	36.81	34.59	16.26	40.97	10.34
8000000	21	256	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	other	1.77	1.66	1.52	1.94	0.11
8000000	21	256	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	total	106.39	100.0	100.0	100.0	0.0
