ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp	5.04	2.53	0.66	1.09	1.74
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm	0.1	0.06	0.12	0.08	0.01
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial	4.31	2.5	0.87	0.69	1.74
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	other	0.04	0.01	0.01	0.18	0.06
8000000	21	256	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	total	2.05	0.0	0.0	0.0	0.0
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp	2.05	1.67	1.24	1.3	1.73
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm	0.22	0.18	0.15	0.21	0.04
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial	2.17	1.64	1.08	1.34	1.76
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	other	0.05	0.02	0.05	0.38	0.11
8000000	21	256	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	total	2.66	0.0	0.0	0.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp	7.04	9.39	11.91	1.89	5.31
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm	0.25	0.29	0.3	0.29	0.05
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial	21.14	9.86	1.49	12.48	5.36
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	other	0.08	0.18	0.21	0.2	0.07
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total	26.33	0.0	0.0	0.0	0.0
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	1.7	2.64	2.29	3.42	1.63
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	0.24	0.05	0.07	0.17	0.07
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	4.66	2.63	3.03	2.43	1.61
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	0.04	0.05	0.07	0.19	0.05
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	5.2	0.0	0.0	0.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comp	2.55	0.12	1.2	1.7	0.85
8000000	21	256	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comm	0.99	0.46	0.43	0.48	0.02
8000000	21	256	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial	0.67	0.5	1.07	0.77	0.9
8000000	21	256	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	other	0.07	0.02	0.02	0.21	0.07
8000000	21	256	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	total	4.16	0.0	0.0	0.0	0.0
8000000	21	256	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comp	1.13	1.65	1.11	1.96	0.7
8000000	21	256	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comm	1.12	0.81	0.78	0.83	0.02
8000000	21	256	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	serial	1.74	1.05	1.15	0.42	0.67
8000000	21	256	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	other	0.04	0.0	0.06	0.28	0.07
8000000	21	256	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	total	2.67	0.0	0.0	0.0	0.0
