ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	1.4	0.28	33.59	5000.0	4.36
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.05	17.36	11.34	3.0	0.16
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	7.12	1.42	33.22	5000.0	22.29
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	4.74	0.95	8.62	5000.0	14.73
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.67	0.13	19.86	5000.0	2.1
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.97	0.19	13.99	5000.0	3.03
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.2	0.02	14.41	10000.0	0.64
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	10.17	2.03	14.31	5000.0	31.92
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	2.26	0.45	29.32	5000.0	7.08
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	3.11	0.62	363.88	5000.0	8.39
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	1.7	1696.31	0.0	1.0	5.31
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	32.39	32392.82	0.0	1.0	100.0
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	2.38	0.48	124.46	5000.0	1.67
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.97	322.55	11.65	3.0	0.68
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	68.72	13.74	4.19	5000.0	48.31
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	39.03	7.81	8.37	5000.0	27.2
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.64	0.13	8.77	5000.0	0.45
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.1	0.22	186.55	5000.0	0.77
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.25	0.03	32.49	10000.0	0.18
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	9.66	1.93	22.74	5000.0	6.8
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	1.86	0.37	65.42	5000.0	1.31
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	18.48	3.7	284.07	5000.0	11.37
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	1.78	1778.0	0.0	1.0	1.26
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	144.88	144883.22	0.0	1.0	100.0
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	3.36	0.67	178.82	5000.0	1.82
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	1.91	636.23	8.27	3.0	1.04
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	70.27	14.05	3.74	5000.0	38.27
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	42.12	8.42	7.56	5000.0	22.95
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.65	0.13	5.4	5000.0	0.35
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.04	0.21	50.88	5000.0	0.57
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.26	0.03	26.09	10000.0	0.14
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	9.67	1.94	18.4	5000.0	5.26
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	1.97	0.39	110.66	5000.0	1.07
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	50.8	10.16	133.58	5000.0	27.54
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	1.79	1792.61	0.0	1.0	0.98
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	183.84	183840.49	0.0	1.0	100.0
