ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.08	0.02	28.28	0.0	0.24
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.0	0.97	5.88	0.0	0.01
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	0.41	0.08	8.49	0.0	1.08
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	0.6	0.12	6.58	0.0	1.59
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.04	0.01	23.33	0.0	0.12
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.07	0.01	14.63	0.0	0.19
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	2.03	0.0	0.03
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.36	0.07	5.16	0.0	0.93
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.1	0.02	8.87	0.0	0.27
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	1.71	0.34	289.88	0.0	4.53
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	0.12	119.55	0.0	0.0	0.32
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.02	14.5	0.0	0.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.16	0.03	78.51	0.0	0.1
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.05	15.62	11.38	0.0	0.03
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	2.54	0.51	2.9	0.0	1.53
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	4.27	0.85	5.68	0.0	2.47
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.02	0.0	8.83	0.0	0.02
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.06	0.01	23.12	0.0	0.04
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	15.87	0.0	0.01
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.41	0.08	23.91	0.0	0.26
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.12	0.03	44.27	0.0	0.08
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	7.29	1.46	154.32	0.0	4.27
