ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.17	0.03	28.58	0.0	0.29
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.0	0.61	3.67	0.0	0.02
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	0.42	0.08	2.67	0.0	2.04
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	0.62	0.12	3.6	0.0	1.16
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.04	0.01	5.88	0.0	0.21
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.06	0.01	16.27	0.0	0.29
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	1.2	0.0	0.06
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.35	0.07	3.45	0.0	3.35
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.08	0.02	9.72	0.0	0.77
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	3.47	0.7	116.79	0.0	7.95
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	0.09	89.55	0.0	0.0	0.51
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	5.01	5005.58	0.0	0.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.35	0.07	78.08	0.0	0.25
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.02	7.87	1.66	0.0	0.1
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	2.42	0.48	1.37	0.0	5.77
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	4.27	0.85	3.34	0.0	2.24
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.0	0.0	1.59	0.0	0.07
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.03	0.01	15.24	0.0	0.1
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.0	0.0	9.03	0.0	0.02
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.31	0.06	18.98	0.0	0.85
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.1	0.02	25.02	0.0	0.17
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	16.73	3.35	55.81	0.0	9.29
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	0.02	15.41	0.0	0.0	0.18
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	22.32	22322.71	0.0	0.0	0.0
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.38	0.08	67.22	0.0	0.15
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.13	43.3	0.7	0.0	0.04
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	1.7	0.34	0.68	0.0	1.75
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	3.35	0.67	1.77	0.0	2.17
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.01	0.0	0.61	0.0	0.01
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.02	0.0	19.08	0.0	0.01
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.0	0.0	0.33	0.0	0.01
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.14	0.03	13.27	0.0	0.13
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.06	0.01	11.97	0.0	0.02
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	8.54	1.71	40.65	0.0	3.86
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	0.03	28.02	0.0	0.0	0.03
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	6.04	6045.79	0.0	0.0	0.0
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.16	0.03	12.87	0.0	0.07
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.02	6.4	0.99	0.0	0.04
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	1.05	0.21	0.17	0.0	0.53
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	1.82	0.36	0.43	0.0	0.82
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.01	0.0	0.5	0.0	0.0
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.01	0.0	3.63	0.0	0.01
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	0.93	0.0	0.0
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.1	0.02	1.45	0.0	0.03
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.02	0.0	1.93	0.0	0.01
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	2.31	0.46	15.89	0.0	1.17
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	Other	0.02	21.84	0.0	0.0	0.01
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	total_time	2.92	2917.4	0.0	0.0	0.0
