ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp	11.86	37.01	34.91	40.9	2.68
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm	1.45	4.52	4.25	4.8	0.24
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial	17.38	53.16	48.58	55.7	3.1
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	other	1.7	5.31	5.0	5.79	0.32
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total	32.39	100.0	100.0	100.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp	107.75	75.51	72.76	82.85	3.9
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm	3.35	2.35	2.2	2.57	0.11
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial	32.0	20.89	13.49	23.7	3.98
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	other	1.78	1.26	1.15	1.37	0.06
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total	144.88	100.0	100.0	100.0	0.0
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	112.39	61.23	55.98	84.18	9.6
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	5.27	2.86	2.64	3.26	0.18
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	64.39	34.94	11.73	40.24	9.69
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	1.79	0.98	0.89	1.22	0.09
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	183.84	100.0	100.0	100.0	0.0
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp	109.88	59.77	55.99	84.03	8.61
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm	7.22	3.93	3.59	4.24	0.19
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial	64.96	35.34	10.68	39.31	8.65
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	other	1.76	0.96	0.86	1.17	0.07
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	total	183.82	100.0	100.0	100.0	0.0
