ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp	1.04	2.97	4.46	3.34	3.15
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm	0.16	0.31	0.38	0.34	0.16
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial	3.99	3.51	2.73	5.52	3.38
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	other	0.09	0.52	0.72	0.37	0.35
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total	5.01	0.0	0.0	0.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp	6.69	7.78	10.48	4.68	5.04
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm	0.35	0.31	0.27	0.53	0.14
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial	16.99	8.15	4.37	10.91	5.02
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	other	0.02	0.18	0.16	0.2	0.01
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total	22.32	0.0	0.0	0.0	0.0
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	5.05	3.85	1.84	2.68	2.76
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	0.5	0.18	0.11	0.47	0.1
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	8.62	3.72	2.44	1.75	2.77
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	0.03	0.03	0.03	0.2	0.04
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	6.04	0.0	0.0	0.0	0.0
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp	2.87	1.23	0.81	1.13	2.15
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm	0.16	0.07	0.08	0.15	0.05
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial	2.35	1.17	0.88	0.78	2.14
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	other	0.02	0.01	0.03	0.17	0.02
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	total	2.92	0.0	0.0	0.0	0.0
