ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.19	0.04	59.57	0.0	0.55
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.01	2.22	13.74	0.0	0.02
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	0.92	0.18	21.95	0.0	2.46
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	1.33	0.27	16.14	0.0	3.57
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.11	0.02	53.58	0.0	0.3
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.18	0.03	34.98	0.0	0.48
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.03	0.0	5.34	0.0	0.09
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.86	0.17	13.37	0.0	2.23
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.24	0.05	21.43	0.0	0.68
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	4.04	0.81	715.59	0.0	10.69
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	0.3	295.79	0.0	0.0	0.8
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.04	36.18	0.0	0.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.47	0.1	195.7	0.0	0.31
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.14	45.13	31.97	0.0	0.09
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	6.87	1.37	8.25	0.0	4.14
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	10.76	2.15	16.36	0.0	6.25
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.06	0.01	27.2	0.0	0.04
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.18	0.04	68.95	0.0	0.13
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.04	0.0	48.86	0.0	0.02
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	1.23	0.25	63.15	0.0	0.77
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.37	0.08	126.59	0.0	0.25
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	18.83	3.77	462.87	0.0	11.08
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	0.31	305.31	0.0	0.0	0.22
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.16	163.19	0.0	0.0	0.0
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	1.04	0.21	229.06	0.0	0.55
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.25	83.73	33.95	0.0	0.13
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	18.68	3.74	10.31	0.0	10.17
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	33.31	6.66	20.6	0.0	18.13
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.2	0.04	15.51	0.0	0.11
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.45	0.09	135.15	0.0	0.24
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.07	0.01	7.51	0.0	0.04
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	2.88	0.58	111.86	0.0	1.55
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.71	0.14	128.71	0.0	0.38
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	55.22	11.04	690.83	0.0	30.06
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	0.62	616.19	0.0	0.0	0.34
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.26	264.1	0.0	0.0	0.0
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.78	0.16	244.9	0.0	0.43
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.64	213.74	39.94	0.0	0.34
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	18.42	3.68	4.83	0.0	10.03
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	33.44	6.69	13.55	0.0	18.21
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.19	0.04	17.08	0.0	0.1
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.29	0.06	175.72	0.0	0.15
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.06	0.0	40.52	0.0	0.04
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	2.11	0.42	42.88	0.0	1.14
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.54	0.1	86.22	0.0	0.29
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	55.33	11.07	603.74	0.0	30.07
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	Other	0.56	560.11	0.0	0.0	0.3
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.66	659.14	0.0	0.0	0.0
