ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.17	0.03	58.3	0.0	0.36
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.0	0.14	2.88	0.0	0.0
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	1.11	0.22	12.3	0.0	2.82
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	1.6	0.32	13.1	0.0	4.18
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.16	0.03	9.47	0.0	0.36
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.23	0.05	64.63	0.0	0.51
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.04	0.0	2.03	0.0	0.09
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	1.31	0.26	2.49	0.0	3.04
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.24	0.05	36.08	0.0	0.52
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	4.87	0.97	347.26	0.0	11.49
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	0.38	377.08	0.0	0.0	0.85
400000	21	256	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.03	31.49	0.0	0.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.73	0.14	60.61	0.0	0.46
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.07	21.71	1.65	0.0	0.05
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	7.65	1.53	6.11	0.0	4.2
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	14.25	2.85	13.11	0.0	8.02
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.01	0.0	12.59	0.0	0.01
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.16	0.03	51.48	0.0	0.1
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	70.63	0.0	0.0
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	1.69	0.34	79.04	0.0	1.07
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.5	0.1	94.81	0.0	0.31
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	22.57	4.52	521.88	0.0	12.65
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	0.05	50.48	0.0	0.0	0.05
8000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.06	62.46	0.0	0.0	0.0
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.76	0.15	30.52	0.0	0.39
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.01	2.57	2.26	0.0	0.01
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	0.46	0.09	7.0	0.0	0.38
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	0.31	0.06	14.03	0.0	0.61
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.19	0.04	9.47	0.0	0.11
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.27	0.06	143.43	0.0	0.14
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.04	0.0	2.58	0.0	0.02
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	1.3	0.26	110.79	0.0	0.68
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.36	0.07	105.52	0.0	0.19
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	3.21	0.64	191.85	0.0	1.81
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	0.38	381.97	0.0	0.0	0.2
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.03	26.57	0.0	0.0	0.0
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.22	0.05	20.98	0.0	0.12
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.04	14.05	0.32	0.0	0.03
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	0.36	0.07	0.72	0.0	0.04
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	0.34	0.07	1.38	0.0	0.2
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.18	0.04	8.47	0.0	0.1
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.24	0.05	56.49	0.0	0.13
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.04	0.0	24.46	0.0	0.02
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	1.36	0.27	13.0	0.0	0.71
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.19	0.04	14.41	0.0	0.09
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	3.16	0.63	195.41	0.0	1.26
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	Other	0.39	386.78	0.0	0.0	0.2
32000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.05	48.0	0.0	0.0	0.0
