ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	3.52	0.71	175.33	5000.0	2.86
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm:gather	1.03	343.89	9.7	3.0	0.85
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	40.4	8.08	22.61	5000.0	32.97
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp:histo	25.11	5.02	22.54	5000.0	20.55
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.65	0.13	10.04	5000.0	0.53
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.26	0.25	201.2	5000.0	1.03
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.28	0.03	31.26	10000.0	0.23
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	10.66	2.13	59.35	5000.0	8.69
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	1.74	0.35	149.05	5000.0	1.42
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:sync	36.41	7.28	236.61	5000.0	29.17
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	Other	2.08	2081.75	0.0	1.0	1.7
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	total_time	123.14	123141.51	0.0	1.0	100.0
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	3.34	0.67	144.89	5000.0	3.1
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.93	310.37	9.52	3.0	0.87
