ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.27	0.05	49.83	0.0	0.13
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.12	40.4	4.0	0.0	0.15
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	2.65	0.53	4.21	0.0	2.9
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp:histo	1.68	0.33	6.57	0.0	2.44
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.02	0.0	0.7	0.0	0.05
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.05	0.01	19.14	0.0	0.08
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	5.59	0.0	0.02
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.33	0.07	20.01	0.0	0.58
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	0.09	0.02	38.62	0.0	0.08
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:sync	9.8	1.96	42.27	0.0	5.93
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	Other	0.03	30.04	0.0	0.0	0.13
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	total_time	9.03	9027.11	0.0	0.0	0.0
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.3	0.06	60.82	0.0	0.12
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.01	4.46	1.17	0.0	0.05
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	0.49	0.1	1.32	0.0	1.76
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	0.8	0.16	3.26	0.0	1.24
