ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp	4.08	5.27	3.22	4.48	1.52
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm	0.23	0.21	0.17	0.54	0.19
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial	10.12	5.43	4.2	3.37	1.42
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	other	0.03	0.13	0.12	0.34	0.08
8000000	21	256	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	total	9.03	0.0	0.0	0.0	0.0
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	1.28	2.94	2.54	4.01	1.52
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	0.3	0.08	0.13	0.6	0.19
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	5.5	2.97	4.28	2.73	1.52
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	0.04	0.09	0.08	0.36	0.07
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	5.71	0.0	0.0	0.0	0.0
8000000	21	256	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comp	1.62	1.58	2.99	2.47	1.8
8000000	21	256	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comm	0.29	0.23	0.17	0.4	0.08
8000000	21	256	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial	2.83	1.77	2.06	3.23	1.79
8000000	21	256	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	other	0.04	0.04	0.06	0.38	0.07
8000000	21	256	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	total	2.94	0.0	0.0	0.0	0.0
8000000	21	256	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	comp	0.8	0.88	1.71	1.55	1.19
8000000	21	256	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	comm	0.17	0.21	0.22	0.27	0.09
8000000	21	256	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial	2.94	1.08	1.42	2.02	1.27
8000000	21	256	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	other	0.04	0.06	0.08	0.18	0.04
8000000	21	256	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	total	3.67	0.0	0.0	0.0	0.0
8000000	21	256	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comp	0.15	0.79	1.31	1.13	0.44
8000000	21	256	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comm	0.44	0.19	0.26	0.65	0.17
8000000	21	256	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial	3.64	0.88	1.3	1.41	0.46
8000000	21	256	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	other	0.03	0.05	0.05	0.31	0.05
8000000	21	256	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	total	4.05	0.0	0.0	0.0	0.0
