ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	comm:allreduce	1.56	0.62	135.26	2500.0	2.05
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	comm:gather	0.96	321.24	12.56	3.0	1.28
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	comp:LIKick	35.42	7.09	4.58	5000.0	46.93
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	comp:histo	10.57	4.23	8.57	2500.0	13.99
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	serial:InductiveImped	0.32	0.13	5.43	2500.0	0.43
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	serial:RFVCalc	1.12	0.22	171.74	5000.0	1.48
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	serial:conversion	0.13	0.03	26.35	5000.0	0.17
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	serial:indVolt1Turn	4.85	1.94	13.76	2500.0	6.43
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	serial:shift_trev_time	0.92	0.37	50.52	2500.0	1.22
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	serial:sync	18.78	7.51	123.76	2500.0	24.47
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	Other	1.17	1170.37	0.0	1.0	1.55
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	total_time	75.81	75810.23	0.0	1.0	100.0
