ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	comm:allreduce	0.27	0.11	59.0	0.0	0.18
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	comm:gather	0.06	19.48	1.94	0.0	0.13
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	comp:LIKick	0.48	0.1	1.61	0.0	2.76
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	comp:histo	0.48	0.19	2.58	0.0	0.87
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	serial:InductiveImped	0.01	0.0	1.18	0.0	0.03
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	serial:RFVCalc	0.04	0.01	9.27	0.0	0.07
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	serial:conversion	0.0	0.0	1.53	0.0	0.01
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	serial:indVolt1Turn	0.12	0.05	9.29	0.0	0.29
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	serial:shift_trev_time	0.03	0.01	13.61	0.0	0.06
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	serial:sync	5.07	2.03	44.88	0.0	3.98
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	Other	0.02	24.74	0.0	0.0	0.09
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	reportonly	500	total_time	5.83	5825.85	0.0	0.0	0.0
