ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	0.14	0.03	9.8	0.0	0.17
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:gather	0.01	3.75	0.28	0.0	0.03
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:redistribute	0.02	1.55	3.12	0.0	0.02
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:sendrecv	0.0	0.0	0.92	0.0	0.0
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp:LIKick	0.59	0.12	0.49	0.0	0.42
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp:histo	0.9	0.18	1.02	0.0	0.5
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:RFVCalc	0.04	0.01	4.66	0.0	0.05
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:conversion	0.0	0.0	0.39	0.0	0.01
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:sync	0.69	0.07	8.18	0.0	0.49
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	Other	0.01	6.87	0.0	0.0	0.04
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	total_time	2.1	2101.71	0.0	0.0	0.0
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:InductiveImped	0.0	0.0	3.05	0.0	0.02
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:indVolt1Turn	0.07	0.02	2.14	0.0	0.23
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:shift_trev_time	0.02	0.01	25.82	0.0	0.03
