ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	1.0	0.2	435.75	0.0	0.18
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:gather	0.46	152.44	12.28	0.0	0.04
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:redistribute	0.71	70.48	5.58	0.0	0.08
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:sendrecv	0.01	0.0	51.89	0.0	0.01
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comp:LIKick	19.51	3.9	2.06	0.0	2.29
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comp:histo	25.1	5.02	2.98	0.0	1.39
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:InductiveImped	0.02	0.0	4.72	0.0	0.01
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:conversion	0.0	0.0	43.52	0.0	0.0
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:indVolt1Turn	1.6	0.32	75.22	0.0	0.33
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:shift_trev_time	0.53	0.11	81.37	0.0	0.09
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:sync	14.51	1.45	23.13	0.0	2.1
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	Other	0.07	71.02	0.0	0.0	0.03
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	total_time	55.68	55680.64	0.0	0.0	0.0
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:RFVCalc	0.39	0.08	76.25	0.0	0.07
