ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comp	475.99	87.69	85.78	90.29	1.79
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm	8.37	1.53	1.4	1.67	0.11
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial	57.68	10.51	8.0	12.34	1.73
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	other	1.42	0.26	0.15	0.37	0.1
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	total	543.46	100.0	100.0	100.0	0.0
16000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comp	227.06	83.9	81.36	87.15	2.27
16000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comm	6.4	2.35	2.11	2.55	0.14
16000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial	36.71	13.24	10.24	15.48	2.09
16000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	other	1.37	0.51	0.3	0.72	0.17
16000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	total	271.53	100.0	100.0	100.0	0.0
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp	110.55	71.09	66.88	76.69	3.41
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm	6.56	4.2	3.78	4.81	0.29
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial	37.5	23.86	18.48	27.66	3.24
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	other	1.34	0.86	0.49	1.27	0.29
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	total	155.94	100.0	100.0	100.0	0.0
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comp	52.42	60.68	54.47	66.88	5.83
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comm	5.94	6.88	6.48	7.18	0.18
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial	26.7	30.87	24.09	36.64	5.4
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	other	1.36	1.57	0.83	3.19	0.63
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	total	86.41	100.0	100.0	100.0	0.0
16000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comp	27.45	38.4	29.56	47.7	7.53
16000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comm	7.23	10.11	8.78	12.58	0.89
16000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	serial	35.7	49.66	41.35	56.99	6.47
16000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	other	1.3	1.82	1.0	3.74	0.67
16000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	total	71.67	100.0	100.0	100.0	0.0
