ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comp	44.6	2.47	2.54	3.11	0.59
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm	1.73	0.24	0.2	0.3	0.06
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial	15.39	2.24	2.82	2.39	0.6
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	other	0.07	0.03	0.01	0.05	0.02
16000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	total	55.68	0.0	0.0	0.0	0.0
16000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comp	17.18	2.64	2.68	2.83	0.61
16000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comm	1.05	0.13	0.1	0.25	0.07
16000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial	11.12	2.56	2.69	2.49	0.58
16000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	other	0.03	0.04	0.04	0.06	0.02
16000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	total	29.26	0.0	0.0	0.0	0.0
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp	2.7	4.65	4.58	4.69	0.28
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm	0.43	0.11	0.13	0.42	0.12
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial	8.71	4.59	4.78	4.24	0.31
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	other	0.01	0.04	0.04	0.09	0.03
16000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	total	6.52	0.0	0.0	0.0	0.0
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comp	0.28	1.12	1.05	1.35	0.18
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comm	0.09	0.22	0.24	0.16	0.02
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial	1.58	1.29	0.45	1.3	0.07
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	other	0.06	0.04	0.02	1.31	0.12
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	total	1.49	0.0	0.0	0.0	0.0
16000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comp	0.7	1.57	0.96	1.8	0.44
16000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comm	0.23	0.49	0.75	0.28	0.16
16000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	serial	3.99	2.11	2.38	1.81	0.48
16000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	other	0.01	0.11	0.06	0.47	0.05
16000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	total	4.86	0.0	0.0	0.0	0.0
