ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	1.72	0.34	322.11	5000.0	2.3
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:gather	0.3	100.4	9.92	3.0	0.4
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:redistribute	0.35	35.1	111.23	10.0	0.47
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:sendrecv	0.21	0.04	10.14	5000.0	0.28
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comp:LIKick	33.06	6.61	13.98	5000.0	44.21
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comp:histo	18.74	3.75	9.2	5000.0	25.05
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:RFVCalc	0.88	0.18	31.73	5000.0	1.18
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:conversion	0.25	0.02	27.66	10000.0	0.34
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:sync	12.53	1.26	177.95	10000.0	16.76
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	Other	1.31	1310.53	0.0	1.0	1.75
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	total_time	74.79	74790.01	0.0	1.0	100.0
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:InductiveImped	0.65	0.13	22.86	5000.0	0.87
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:indVolt1Turn	9.34	1.87	10.83	5000.0	12.49
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:shift_trev_time	1.77	0.35	44.94	5000.0	2.36
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	2.32	0.46	102.58	5000.0	2.64
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comm:gather	0.5	165.36	11.67	3.0	0.56
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comm:redistribute	0.43	42.98	101.81	10.0	0.49
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comm:sendrecv	0.21	0.04	6.95	5000.0	0.24
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comp:LIKick	36.32	7.26	16.98	5000.0	41.31
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comp:histo	24.36	4.87	23.81	5000.0	27.67
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial:InductiveImped	0.63	0.13	7.02	5000.0	0.72
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial:conversion	0.26	0.03	30.21	10000.0	0.3
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial:indVolt1Turn	9.76	1.95	8.78	5000.0	11.09
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial:shift_trev_time	1.77	0.35	49.03	5000.0	2.02
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial:sync	15.69	1.57	191.37	10000.0	17.86
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	Other	1.33	1332.57	0.0	1.0	1.51
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	total_time	87.96	87958.95	0.0	1.0	100.0
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial:RFVCalc	0.91	0.18	46.9	5000.0	1.03
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	3.08	0.62	150.32	5000.0	3.6
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:gather	0.92	305.72	10.5	3.0	1.08
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:redistribute	0.44	43.75	103.2	10.0	0.52
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:sendrecv	0.21	0.04	7.78	5000.0	0.25
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp:LIKick	34.07	6.82	6.78	5000.0	40.05
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp:histo	20.05	4.01	9.1	5000.0	23.53
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:InductiveImped	0.64	0.13	7.19	5000.0	0.76
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:conversion	0.26	0.03	25.43	10000.0	0.3
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:indVolt1Turn	9.71	1.94	10.09	5000.0	11.4
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:shift_trev_time	1.82	0.36	261.04	5000.0	2.13
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:sync	18.46	1.85	148.2	10000.0	21.47
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	Other	1.34	1340.17	0.0	1.0	1.58
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	total_time	85.32	85322.32	0.0	1.0	100.0
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:RFVCalc	0.82	0.16	12.78	5000.0	0.96
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	3.94	0.79	278.5	5000.0	4.35
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comm:gather	1.84	614.01	9.82	3.0	2.03
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comm:redistribute	0.37	37.44	79.02	10.0	0.42
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comm:sendrecv	0.21	0.04	11.21	5000.0	0.24
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comp:LIKick	34.24	6.85	6.4	5000.0	37.86
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comp:histo	20.71	4.14	8.58	5000.0	22.9
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial:InductiveImped	0.65	0.13	20.96	5000.0	0.72
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial:conversion	0.26	0.03	25.51	10000.0	0.29
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial:indVolt1Turn	9.52	1.91	11.82	5000.0	10.53
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial:shift_trev_time	1.71	0.34	46.0	5000.0	1.89
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial:sync	21.12	2.11	175.97	10000.0	23.33
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	Other	1.34	1340.68	0.0	1.0	1.48
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	total_time	90.47	90468.27	0.0	1.0	100.0
16000000	21	256	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial:RFVCalc	0.97	0.19	249.2	5000.0	1.07
32000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	5.35	1.07	162.89	5000.0	4.93
32000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comm:gather	3.44	1147.8	12.18	3.0	3.33
32000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comm:redistribute	0.35	34.84	86.13	10.0	0.33
32000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comm:sendrecv	0.21	0.04	10.98	5000.0	0.21
32000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comp:LIKick	33.96	6.79	7.71	5000.0	32.78
32000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comp:histo	19.91	3.98	11.24	5000.0	19.24
32000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	serial:InductiveImped	0.65	0.13	22.85	5000.0	0.63
32000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	serial:conversion	0.26	0.03	26.86	10000.0	0.25
32000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	serial:indVolt1Turn	9.52	1.91	19.44	5000.0	9.16
32000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	serial:shift_trev_time	1.81	0.36	55.29	5000.0	1.74
32000000	21	256	5000	64	32	10	1	50	0	0	mvapich2	interval	500	serial:sync	36.35	3.64	186.82	10000.0	31.44
