ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	0.02	0.0	40.57	0.0	0.02
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:gather	0.0	1.64	0.23	0.0	0.01
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:redistribute	0.1	9.78	28.98	0.0	0.13
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:sendrecv	0.0	0.0	4.41	0.0	0.0
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comp:LIKick	0.12	0.02	1.08	0.0	0.05
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comp:histo	0.04	0.0	2.54	0.0	0.13
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:RFVCalc	0.03	0.0	0.91	0.0	0.04
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:conversion	0.0	0.0	0.38	0.0	0.0
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:sync	0.13	0.01	7.85	0.0	0.11
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	Other	0.01	10.15	0.0	0.0	0.02
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	total_time	0.28	275.87	0.0	0.0	0.0
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:InductiveImped	0.01	0.0	0.31	0.0	0.01
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:indVolt1Turn	0.05	0.01	6.63	0.0	0.04
2000000	21	256	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:shift_trev_time	0.01	0.0	0.95	0.0	0.02
4000000	21	256	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	0.2	0.04	21.0	0.0	0.18
