ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	comm:allreduce	1.4	0.56	91.13	2500.0	2.3
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	comm:gather	0.98	325.84	7.87	3.0	1.61
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	comm:redistribute	0.3	30.18	82.86	10.0	0.5
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	comm:sendrecv	0.24	0.05	20.6	5000.0	0.4
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	comp:LIKick	34.41	6.88	5.74	5000.0	56.71
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	comp:histo	9.78	3.91	6.54	2500.0	16.11
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	serial:RFVCalc	0.95	0.19	16.89	5000.0	1.56
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	serial:conversion	0.13	0.03	25.45	5000.0	0.21
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	serial:sync	9.05	1.2	193.38	7500.0	14.9
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	Other	0.95	947.9	0.0	1.0	1.56
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	total_time	60.68	60682.91	0.0	1.0	100.0
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	serial:InductiveImped	0.33	0.13	84.17	2500.0	0.54
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	serial:indVolt1Turn	4.74	1.9	9.23	2500.0	7.82
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	serial:shift_trev_time	0.9	0.36	83.56	2500.0	1.48
