ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
16000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm:allreduce	1.48	0.59	653.28	2500.0	0.4
16000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm:gather	2.77	924.98	30.51	3.0	0.75
16000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm:redistribute	2.21	220.38	91.45	10.0	0.59
16000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm:sendrecv	0.24	0.05	20.77	5000.0	0.07
16000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comp:LIKick	269.36	53.87	3.55	5000.0	72.77
16000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comp:histo	71.61	28.64	7.14	2500.0	19.34
16000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:InductiveImped	0.31	0.13	4.89	2500.0	0.09
16000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:conversion	0.13	0.03	30.75	5000.0	0.04
16000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:indVolt1Turn	4.93	1.97	48.33	2500.0	1.33
16000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:shift_trev_time	0.98	0.39	103.28	2500.0	0.26
16000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:sync	17.96	2.4	592.54	7500.0	4.8
16000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	Other	0.98	981.49	0.0	1.0	0.26
16000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	total_time	370.4	370403.39	0.0	1.0	100.0
16000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:RFVCalc	1.09	0.22	72.2	5000.0	0.29
16000000	21	256	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comm:allreduce	1.73	0.69	1090.32	2500.0	0.83
16000000	21	256	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comm:gather	2.15	718.9	11.5	3.0	1.04
16000000	21	256	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comm:redistribute	1.27	126.8	86.37	10.0	0.61
16000000	21	256	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comm:sendrecv	0.24	0.05	21.2	5000.0	0.11
