ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comp	0.07	0.18	0.14	0.15	0.02
2000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm	0.02	0.04	0.04	0.03	0.01
2000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial	0.13	0.17	0.14	0.14	0.02
2000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	other	0.0	0.01	0.01	0.03	0.01
2000000	21	256	5000	4	2	10	2	50	0	1	mvapich2	interval	500	total	0.18	0.0	0.0	0.0	0.0
4000000	21	256	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comp	1.44	0.53	0.57	0.25	0.09
4000000	21	256	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comm	0.02	0.12	0.09	0.15	0.02
4000000	21	256	5000	8	4	10	2	50	0	1	mvapich2	interval	500	serial	0.86	0.7	0.33	0.73	0.03
4000000	21	256	5000	8	4	10	2	50	0	1	mvapich2	interval	500	other	0.01	0.08	0.04	0.18	0.06
4000000	21	256	5000	8	4	10	2	50	0	1	mvapich2	interval	500	total	2.29	0.0	0.0	0.0	0.0
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	comp	0.54	0.55	0.53	0.56	0.14
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	comm	0.16	0.18	0.01	0.4	0.13
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	serial	0.5	0.4	0.35	0.43	0.0
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	other	0.01	0.01	0.02	0.04	0.01
8000000	21	256	5000	16	8	10	2	50	0	1	mvapich2	interval	500	total	1.2	0.0	0.0	0.0	0.0
16000000	21	256	5000	32	16	10	2	50	0	1	mvapich2	interval	500	comp	1.03	1.61	2.37	1.8	0.12
16000000	21	256	5000	32	16	10	2	50	0	1	mvapich2	interval	500	comm	0.15	0.14	0.18	0.42	0.13
16000000	21	256	5000	32	16	10	2	50	0	1	mvapich2	interval	500	serial	1.67	1.71	2.04	1.57	0.16
16000000	21	256	5000	32	16	10	2	50	0	1	mvapich2	interval	500	other	0.01	0.04	0.07	0.37	0.04
16000000	21	256	5000	32	16	10	2	50	0	1	mvapich2	interval	500	total	2.45	0.0	0.0	0.0	0.0
32000000	21	256	5000	64	32	10	2	50	0	1	mvapich2	interval	500	comp	0.95	9.77	10.69	3.27	0.4
32000000	21	256	5000	64	32	10	2	50	0	1	mvapich2	interval	500	comm	0.91	0.86	1.07	1.16	0.39
32000000	21	256	5000	64	32	10	2	50	0	1	mvapich2	interval	500	serial	23.0	10.83	2.2	10.71	0.61
32000000	21	256	5000	64	32	10	2	50	0	1	mvapich2	interval	500	other	0.01	0.21	0.14	0.19	0.06
32000000	21	256	5000	64	32	10	2	50	0	1	mvapich2	interval	500	total	24.64	0.0	0.0	0.0	0.0
