ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	21	256	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp	51.82	81.59	73.35	89.76	8.0
2000000	21	256	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm	0.86	1.35	1.21	1.47	0.1
2000000	21	256	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial	9.7	15.27	7.75	22.73	7.34
2000000	21	256	5000	4	2	10	1	50	0	2	mvapich2	interval	500	other	1.14	1.8	0.97	2.71	0.76
2000000	21	256	5000	4	2	10	1	50	0	2	mvapich2	interval	500	total	63.52	100.0	100.0	100.0	0.0
4000000	21	256	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comp	53.3	76.1	67.77	85.5	7.68
4000000	21	256	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm	1.11	1.58	1.44	1.75	0.1
4000000	21	256	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial	15.39	20.69	12.02	28.38	7.04
4000000	21	256	5000	8	4	10	1	50	0	2	mvapich2	interval	500	other	1.14	1.63	0.83	2.48	0.7
4000000	21	256	5000	8	4	10	1	50	0	2	mvapich2	interval	500	total	70.94	100.0	100.0	100.0	0.0
8000000	21	256	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp	52.85	75.14	67.49	82.67	7.22
8000000	21	256	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm	1.51	2.15	1.96	2.41	0.13
8000000	21	256	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial	14.82	21.07	14.19	28.04	6.63
8000000	21	256	5000	16	8	10	1	50	0	2	mvapich2	interval	500	other	1.15	1.63	0.84	2.51	0.69
8000000	21	256	5000	16	8	10	1	50	0	2	mvapich2	interval	500	total	70.33	100.0	100.0	100.0	0.0
16000000	21	256	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comp	53.45	72.62	64.75	80.99	7.11
16000000	21	256	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm	2.39	3.24	2.84	3.54	0.16
16000000	21	256	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial	16.65	22.59	14.94	29.6	6.59
16000000	21	256	5000	32	16	10	1	50	0	2	mvapich2	interval	500	other	1.14	1.55	0.79	2.59	0.63
16000000	21	256	5000	32	16	10	1	50	0	2	mvapich2	interval	500	total	73.63	100.0	100.0	100.0	0.0
32000000	21	256	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comp	53.57	62.28	55.21	69.85	6.04
32000000	21	256	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comm	4.04	4.69	4.11	5.16	0.26
32000000	21	256	5000	64	32	10	1	50	0	2	mvapich2	interval	500	serial	27.55	31.71	24.72	38.04	5.55
32000000	21	256	5000	64	32	10	1	50	0	2	mvapich2	interval	500	other	1.14	1.32	0.62	2.35	0.56
32000000	21	256	5000	64	32	10	1	50	0	2	mvapich2	interval	500	total	86.29	100.0	100.0	100.0	0.0
