ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	2.8	0.56	81.53	5000.0	3.21
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.92	306.39	8.75	3.0	1.06
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:sendrecv	0.21	0.04	14.85	5000.0	0.24
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	33.78	6.76	5.53	5000.0	38.7
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	19.75	3.95	6.53	5000.0	22.54
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:InductiveImped	0.63	0.13	8.38	5000.0	0.72
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.25	0.03	26.13	10000.0	0.29
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	9.57	1.92	15.37	5000.0	10.99
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:shift_trev_time	1.77	0.35	71.73	5000.0	2.03
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	23.37	2.34	175.49	10000.0	25.12
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	1.32	1321.41	0.0	1.0	1.52
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	88.78	88780.09	0.0	1.0	100.0
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.79	0.16	15.02	5000.0	0.91
