ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm:allreduce	8.35	1.67	27.4	5000.0	3.63
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm:gather	2.67	889.68	19.09	3.0	1.16
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp:LIKick	74.94	14.99	5.09	5000.0	32.51
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp:histo	46.2	9.24	5.4	5000.0	19.96
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:RFVCalc	1.22	0.24	18.97	5000.0	0.53
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:beam_phase_sharpWindow	3.63	0.73	5.13	5000.0	1.58
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:beam_spectrum_gen	11.55	2.31	22.52	5000.0	5.01
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:binShift	0.01	0.14	10.02	99.0	0.01
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:conversion	1.22	0.12	10.38	10000.0	0.53
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:indVolt1Turn	53.43	3.56	10.18	15000.0	23.22
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:sync	27.03	5.41	225.36	5000.0	10.24
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	Other	3.69	3691.01	0.0	1.0	1.61
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	total_time	233.94	233937.67	0.0	1.0	100.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm:allreduce	12.65	2.53	33.14	5000.0	6.58
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm:gather	2.83	942.49	15.16	3.0	1.47
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp:LIKick	37.9	7.58	5.98	5000.0	19.74
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp:histo	24.5	4.9	6.08	5000.0	12.76
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:RFVCalc	1.22	0.24	11.79	5000.0	0.63
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:beam_phase_sharpWindow	3.63	0.72	4.51	5000.0	1.89
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:beam_spectrum_gen	11.59	2.32	26.58	5000.0	6.04
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:binShift	0.01	0.14	7.53	99.0	0.01
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:conversion	1.22	0.12	10.49	10000.0	0.63
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:indVolt1Turn	53.43	3.56	8.21	15000.0	27.82
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:sync	39.65	7.93	106.62	5000.0	20.5
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	Other	3.69	3688.25	0.0	1.0	1.92
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	total_time	192.33	192326.48	0.0	1.0	100.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	6.62	1.32	67.69	5000.0	2.89
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.88	292.33	13.2	3.0	0.38
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	73.58	14.72	6.23	5000.0	32.08
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	45.68	9.14	7.48	5000.0	19.88
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.98	0.39	44.78	5000.0	0.86
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	3.72	0.74	9.99	5000.0	1.63
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	12.32	2.46	15.42	5000.0	5.38
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.01	0.15	23.29	99.0	0.01
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	1.31	0.13	10.78	10000.0	0.57
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	60.93	4.06	13.77	15000.0	26.6
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	19.35	3.87	237.02	5000.0	7.92
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	4.12	4123.14	0.0	1.0	1.8
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	230.5	230502.34	0.0	1.0	100.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	9.03	1.81	75.26	5000.0	4.38
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.78	258.88	10.2	3.0	0.38
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	38.7	7.74	8.67	5000.0	18.94
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	25.7	5.14	9.13	5000.0	12.58
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.93	0.38	20.15	5000.0	0.94
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	3.73	0.75	11.06	5000.0	1.82
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	12.53	2.51	15.48	5000.0	6.13
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.01	0.15	19.78	99.0	0.01
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	1.32	0.13	12.18	10000.0	0.65
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	61.65	4.11	16.52	15000.0	30.17
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	47.65	9.53	173.68	5000.0	22.07
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	3.94	3937.57	0.0	1.0	1.93
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	206.94	206942.51	0.0	1.0	100.0
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comm:allreduce	8.44	1.69	135.94	5000.0	2.83
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comm:gather	1.11	370.47	17.22	3.0	0.37
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comp:LIKick	80.22	16.04	5.48	5000.0	26.88
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comp:histo	53.7	10.74	7.76	5000.0	18.0
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial:RFVCalc	2.09	0.42	26.59	5000.0	0.7
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial:beam_phase_sharpWindow	4.02	0.8	4.6	5000.0	1.35
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial:beam_spectrum_gen	13.23	2.64	32.57	5000.0	4.44
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial:binShift	0.01	0.15	23.88	99.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial:conversion	1.4	0.14	17.93	10000.0	0.47
