ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm:allreduce	0.31	0.06	10.83	0.0	0.45
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm:gather	0.1	32.92	4.96	0.0	0.16
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp:LIKick	2.79	0.56	0.8	0.0	3.31
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp:histo	3.25	0.65	0.91	0.0	1.5
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:RFVCalc	0.03	0.0	12.64	0.0	0.06
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:beam_phase_sharpWindow	0.03	0.01	3.33	0.0	0.2
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:beam_spectrum_gen	0.38	0.07	9.58	0.0	0.54
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:binShift	0.0	0.0	5.76	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:conversion	0.01	0.0	0.64	0.0	0.07
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:indVolt1Turn	1.36	0.09	7.46	0.0	2.64
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial:sync	26.57	5.31	58.02	0.0	9.08
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	Other	0.02	19.43	0.0	0.0	0.21
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	total_time	34.18	34178.16	0.0	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm:allreduce	1.77	0.35	17.12	0.0	0.87
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm:gather	0.06	21.31	4.58	0.0	0.07
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp:LIKick	0.64	0.13	0.79	0.0	0.78
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp:histo	0.75	0.15	0.77	0.0	0.56
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:RFVCalc	0.01	0.0	5.84	0.0	0.02
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:beam_phase_sharpWindow	0.02	0.0	2.01	0.0	0.07
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:beam_spectrum_gen	0.15	0.03	14.89	0.0	0.21
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:binShift	0.0	0.0	0.39	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:conversion	0.01	0.0	0.56	0.0	0.02
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:indVolt1Turn	0.5	0.03	2.8	0.0	0.96
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial:sync	8.02	1.6	40.63	0.0	3.01
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	Other	0.02	15.1	0.0	0.0	0.08
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	total_time	8.77	8773.38	0.0	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.22	0.04	32.73	0.0	0.19
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.01	3.59	2.22	0.0	0.03
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	2.09	0.42	1.81	0.0	1.8
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	2.41	0.48	2.09	0.0	0.83
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.02	0.0	11.81	0.0	0.06
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.03	0.01	7.21	0.0	0.13
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.18	0.04	7.06	0.0	0.36
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.0	0.02	32.67	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.0	0.0	0.54	0.0	0.04
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.71	0.05	7.62	0.0	1.87
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	15.33	3.07	77.01	0.0	5.37
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	0.07	66.94	0.0	0.0	0.14
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	20.6	20598.9	0.0	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.92	0.18	51.81	0.0	0.12
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.01	4.35	1.55	0.0	0.04
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	1.22	0.24	4.05	0.0	1.83
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	1.25	0.25	3.31	0.0	1.3
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.05	0.01	12.01	0.0	0.08
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.04	0.01	7.36	0.0	0.18
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.22	0.04	9.61	0.0	0.58
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.0	0.02	19.32	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	1.6	0.0	0.07
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	1.07	0.07	7.53	0.0	2.84
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	24.99	5.0	92.68	0.0	7.16
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	0.04	44.96	0.0	0.0	0.19
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	27.81	27804.39	0.0	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comm:allreduce	0.54	0.11	11.74	0.0	0.18
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comm:gather	0.06	20.7	5.92	0.0	0.03
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comp:LIKick	1.68	0.34	0.28	0.0	0.47
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comp:histo	1.81	0.36	0.55	0.0	0.49
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial:RFVCalc	0.03	0.0	3.07	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial:beam_phase_sharpWindow	0.06	0.01	1.28	0.0	0.01
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial:beam_spectrum_gen	0.14	0.03	22.56	0.0	0.04
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial:binShift	0.0	0.01	27.89	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial:conversion	0.02	0.0	8.71	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial:indVolt1Turn	0.46	0.03	1.2	0.0	0.11
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial:sync	2.66	0.53	20.29	0.0	0.89
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	Other	0.05	56.32	0.0	0.0	0.01
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	total_time	3.11	3112.35	0.0	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comm:allreduce	3.18	0.64	112.07	0.0	0.82
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comm:gather	0.07	25.33	0.6	0.0	0.05
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comp:LIKick	1.26	0.25	1.37	0.0	1.39
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comp:histo	1.6	0.32	2.15	0.0	0.71
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	serial:RFVCalc	0.05	0.01	7.83	0.0	0.07
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	serial:beam_phase_sharpWindow	0.08	0.02	5.9	0.0	0.15
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	serial:beam_spectrum_gen	0.31	0.06	14.4	0.0	0.48
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	serial:binShift	0.0	0.0	7.84	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	serial:conversion	0.02	0.0	5.77	0.0	0.06
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	serial:indVolt1Turn	1.21	0.08	4.54	0.0	2.51
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	serial:sync	16.12	3.23	113.24	0.0	5.31
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	Other	0.08	83.82	0.0	0.0	0.22
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	total_time	22.74	22735.74	0.0	0.0	0.0
