ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp	121.13	52.47	50.24	58.86	3.24
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm	11.02	4.8	4.44	5.2	0.25
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial	98.09	41.12	34.59	43.43	3.28
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	other	3.69	1.61	1.54	1.68	0.05
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	total	233.94	100.0	100.0	100.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp	62.41	32.5	30.49	45.45	3.96
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm	15.48	8.05	7.49	8.7	0.36
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial	110.75	57.53	44.5	59.89	4.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	other	3.69	1.92	1.83	2.06	0.07
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	total	192.33	100.0	100.0	100.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp	119.26	51.96	50.28	55.26	1.84
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm	7.5	3.27	3.16	3.39	0.07
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial	99.62	42.97	39.6	44.68	1.86
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	other	4.12	1.8	1.67	1.97	0.1
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total	230.5	100.0	100.0	100.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	64.39	31.52	29.21	43.01	4.17
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	9.8	4.76	4.56	5.1	0.17
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	128.81	61.8	50.28	64.15	4.2
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	3.94	1.93	1.82	2.11	0.08
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	206.94	100.0	100.0	100.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comp	133.91	44.88	38.89	57.35	8.1
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comm	9.55	3.2	3.1	3.27	0.05
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial	150.67	50.5	37.94	56.5	8.16
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	other	4.23	1.42	1.27	1.86	0.18
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	total	298.36	100.0	100.0	100.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comp	66.18	29.23	26.52	36.81	3.91
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comm	19.52	8.54	8.4	8.67	0.08
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	serial	137.41	60.09	52.13	63.04	4.03
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	other	4.85	2.15	1.88	2.7	0.23
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	total	227.95	100.0	100.0	100.0	0.0
