ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comp	6.04	4.79	6.5	2.94	3.59
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	comm	0.31	0.59	0.53	0.66	0.11
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	serial	28.22	5.57	2.19	7.41	3.6
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	other	0.02	0.21	0.21	0.22	0.01
2000000	72	1408	5000	8	4	10	1	50	0	0	mpich3	reportonly	500	total	34.18	0.0	0.0	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comp	1.38	1.32	1.26	1.41	0.79
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	comm	1.79	0.87	0.68	1.14	0.2
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	serial	8.41	1.92	1.85	1.64	0.86
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	other	0.02	0.08	0.07	0.05	0.01
2000000	72	1408	5000	16	8	10	1	50	0	0	mpich3	reportonly	500	total	8.77	0.0	0.0	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp	4.48	2.6	3.89	3.12	2.67
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm	0.2	0.23	0.2	0.26	0.04
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial	16.23	2.93	2.78	4.28	2.66
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	other	0.07	0.14	0.13	0.16	0.02
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total	20.6	0.0	0.0	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	2.45	3.12	2.96	4.47	1.06
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	0.92	0.16	0.31	0.32	0.19
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	26.17	3.45	4.89	3.51	1.05
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	0.04	0.19	0.19	0.11	0.02
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	27.81	0.0	0.0	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comp	3.47	0.95	0.56	0.68	0.45
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	comm	0.56	0.19	0.21	0.19	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	serial	2.52	0.81	0.55	0.6	0.45
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	other	0.05	0.01	0.02	0.08	0.03
2000000	72	1408	5000	8	4	10	1	50	0	0	openmpi3	reportonly	500	total	3.11	0.0	0.0	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comp	2.84	2.06	2.83	1.87	1.79
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	comm	3.15	0.78	0.8	0.77	0.01
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	serial	17.72	2.06	1.51	2.93	1.78
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	other	0.08	0.22	0.19	0.19	0.03
2000000	72	1408	5000	16	8	10	1	50	0	0	openmpi3	reportonly	500	total	22.74	0.0	0.0	0.0	0.0
