ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	3.66	0.73	45.1	5000.0	1.87
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.51	168.89	12.5	3.0	0.26
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	61.47	12.3	4.85	5000.0	31.37
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	35.48	7.09	6.9	5000.0	18.0
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.61	0.32	55.89	5000.0	0.82
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	3.32	0.66	12.69	5000.0	1.7
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	12.54	2.51	50.7	5000.0	6.41
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.02	0.19	13.01	99.0	0.01
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.83	0.08	7.75	10000.0	0.43
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	61.02	4.07	12.09	15000.0	31.18
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	15.0	3.0	372.43	5000.0	6.33
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	3.2	3199.56	0.0	1.0	1.64
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	198.66	198661.64	0.0	1.0	100.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	6.53	1.31	54.15	5000.0	2.7
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.81	270.87	11.03	3.0	0.34
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	73.8	14.76	5.66	5000.0	30.52
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	46.3	9.26	6.79	5000.0	19.11
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.99	0.4	35.14	5000.0	0.83
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	3.74	0.75	7.88	5000.0	1.55
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	12.4	2.48	38.79	5000.0	5.14
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.01	0.15	9.36	99.0	0.01
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	1.31	0.13	10.51	10000.0	0.54
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	60.8	4.05	11.04	15000.0	25.19
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	32.54	6.51	178.71	5000.0	12.42
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	4.0	3996.47	0.0	1.0	1.66
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	244.26	244255.27	0.0	1.0	100.0
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	39.45	7.89	104.49	5000.0	10.93
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	1.65	549.99	8.23	3.0	0.46
