ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.12	0.02	31.03	0.0	0.06
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.04	11.36	7.68	0.0	0.02
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	2.44	0.49	2.03	0.0	1.01
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	2.96	0.59	3.84	0.0	1.2
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.11	0.02	29.26	0.0	0.05
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.17	0.04	14.01	0.0	0.07
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.38	0.08	14.61	0.0	0.16
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.0	0.01	0.88	0.0	0.0
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.03	0.0	1.44	0.0	0.01
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	1.51	0.1	5.32	0.0	0.6
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	7.26	1.45	197.28	0.0	2.9
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	0.15	151.03	0.0	0.0	0.07
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.06	58.62	0.0	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.13	0.02	23.23	0.0	0.06
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.03	10.92	9.29	0.0	0.01
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	4.43	0.89	1.61	0.0	1.68
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	5.0	1.0	3.11	0.0	1.86
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.09	0.02	21.36	0.0	0.04
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.1	0.02	8.71	0.0	0.04
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.41	0.08	15.08	0.0	0.16
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.0	0.01	1.57	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	1.35	0.0	0.01
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	1.37	0.09	6.03	0.0	0.52
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	10.98	2.2	187.37	0.0	4.11
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	0.14	133.2	0.0	0.0	0.06
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.05	49.47	0.0	0.0	0.0
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.87	0.17	4.37	0.0	0.24
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.07	22.42	8.36	0.0	0.02
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	8.82	1.76	1.74	0.0	2.45
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	9.35	1.87	2.42	0.0	2.6
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.3	0.06	19.83	0.0	0.08
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.47	0.09	17.6	0.0	0.13
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	1.02	0.2	13.27	0.0	0.28
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.0	0.01	9.14	0.0	0.0
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.17	0.02	4.89	0.0	0.05
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	4.64	0.31	11.52	0.0	1.27
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	24.65	4.93	138.44	0.0	6.83
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	0.43	430.11	0.0	0.0	0.12
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.08	82.07	0.0	0.0	0.0
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	1.42	0.28	4.3	0.0	0.32
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.16	53.27	10.09	0.0	0.03
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	7.84	1.57	1.92	0.0	1.75
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	8.38	1.68	2.19	0.0	1.87
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.33	0.07	10.68	0.0	0.07
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.44	0.09	12.56	0.0	0.1
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.83	0.17	18.04	0.0	0.18
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.0	0.04	43.3	0.0	0.0
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.24	0.02	5.43	0.0	0.06
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	3.42	0.23	16.33	0.0	0.76
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	20.89	4.18	101.62	0.0	4.65
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	Other	0.23	230.75	0.0	0.0	0.05
