ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.17	0.03	11.83	0.0	0.17
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.05	15.48	6.42	0.0	0.03
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	2.47	0.49	0.44	0.0	2.83
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	3.08	0.62	1.07	0.0	0.99
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.07	0.01	12.82	0.0	0.08
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.17	0.03	8.73	0.0	0.16
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.43	0.09	18.87	0.0	0.63
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.0	0.01	0.72	0.0	0.0
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.03	0.0	0.95	0.0	0.04
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	1.97	0.13	1.76	0.0	3.15
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	21.74	4.35	52.16	0.0	8.15
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	0.11	107.01	0.0	0.0	0.17
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	29.85	29848.87	0.0	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.1	0.02	11.59	0.0	0.27
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.03	10.5	2.17	0.0	0.04
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	1.62	0.32	0.34	0.0	2.78
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	1.88	0.38	0.79	0.0	1.38
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.02	0.01	7.53	0.0	0.09
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.02	0.01	6.4	0.0	0.17
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.16	0.03	29.68	0.0	0.52
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.0	0.0	0.55	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.01	0.0	0.45	0.0	0.06
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	0.53	0.03	1.67	0.0	2.62
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	23.24	4.65	29.07	0.0	8.09
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	Other	0.04	42.79	0.0	0.0	0.18
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total_time	27.42	27423.55	0.0	0.0	0.0
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	4.52	0.91	62.3	0.0	0.74
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.12	39.87	1.56	0.0	0.05
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	2.02	0.4	1.43	0.0	1.04
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	1.75	0.35	0.94	0.0	0.88
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.06	0.01	4.94	0.0	0.03
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.12	0.02	3.41	0.0	0.05
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.23	0.04	15.31	0.0	0.15
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.0	0.0	4.63	0.0	0.0
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.05	0.01	1.59	0.0	0.02
