ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp	96.95	49.37	47.91	53.01	2.16
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm	4.17	2.12	2.04	2.2	0.06
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial	94.34	46.87	43.21	48.28	2.15
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	other	3.2	1.64	1.57	1.74	0.07
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total	198.66	100.0	100.0	100.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp	120.1	49.64	47.52	58.5	3.5
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm	7.35	3.04	2.97	3.12	0.05
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial	112.81	45.67	36.81	47.78	3.48
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	other	4.0	1.66	1.57	1.74	0.06
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total	244.26	100.0	100.0	100.0	0.0
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	152.8	42.58	39.61	55.58	5.03
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	41.1	11.4	10.97	11.77	0.24
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	161.42	44.85	31.47	48.14	5.16
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	4.25	1.19	1.0	1.43	0.12
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	359.57	100.0	100.0	100.0	0.0
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp	176.64	39.34	37.2	50.87	3.61
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm	87.33	19.3	18.72	19.85	0.31
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial	181.97	40.43	28.6	42.92	3.63
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	other	4.15	0.93	0.86	1.11	0.05
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	total	450.09	100.0	100.0	100.0	0.0
