ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp	5.55	3.79	5.82	3.13	3.62
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm	0.18	0.19	0.21	0.18	0.02
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial	24.19	4.15	2.88	6.22	3.7
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	other	0.11	0.17	0.19	0.15	0.06
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total	29.85	0.0	0.0	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp	3.48	4.15	5.31	3.72	2.84
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm	0.1	0.31	0.29	0.35	0.03
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial	23.91	4.65	3.26	5.81	2.87
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	other	0.04	0.18	0.18	0.19	0.01
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	total	27.42	0.0	0.0	0.0	0.0
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	3.73	1.91	2.02	2.73	0.97
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	4.47	0.7	0.64	0.76	0.11
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	11.97	1.37	1.97	1.43	0.95
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	0.11	0.06	0.06	0.08	0.02
2000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	17.73	0.0	0.0	0.0	0.0
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comp	2.27	2.03	1.81	2.54	0.91
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	comm	13.92	2.16	2.29	2.14	0.15
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	serial	10.78	1.06	0.98	1.31	0.88
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	other	0.03	0.04	0.04	0.07	0.0
2000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	reportonly	500	total	23.15	0.0	0.0	0.0	0.0
